	eng	ara
10433	You need to study more.	انت بحاجة أن تدرس أكثر
8305	This is the only camera I've got.	هذه هي الكاميرا الوحيدة لدي.
7581	Answer the telephone, will you?	هل لك أن ترد على الهاتف؟
1711	We felt the house shake a little.	شعرنا بالبيت يهتز قليلاً.
9144	I don't like him because he is sly as a fox.	لا أحبه لأنه ماكر كالثعلب.
4874	We panicked a little bit.	شعرنا بالقليل من الذعر.
7024	I didn't want to spend any more time trying to convince Tom to study French.	لم أرغب ببذل مزيد من الوقت لإقناع توم بدراسة الفرنسية.
3776	What you did was wrong.	ما فعلته أنتَ كان خاطئاً.
4080	My college tuition is too expensive.	الدراسة بكليتي مكلفة جدًا.
8974	Stop teasing your sister!	توقف عن غيظ أختك!
241	I hope your brother is better.	آمل أن أخاك قد تحسن.
9698	Tom hasn't been indicted.	لم يتم اتهام توم.
1688	I'll be going to Europe next week.	سأذهب إلى أوروبا الاسبوع المقبل.
3814	Maybe he will be a good teacher.	لربما أصبح معلماً ماهراً.
10082	Tom hid the book under his pillow.	أخفى توم الكتاب تحت الوسادة.
11224	I've made up my mind to work for a company in the States.	قررت أن أعمل لحساب شركة في أمريكا.
7749	This is an extremely important point.	هذه ملحوظة مهمة للغاية.
6287	How often do you forget to do your homework?	أتنسى عادة القيام بواجبات؟
2440	A beautiful object like that never loses its value.	شيء جميل كهذا أبدا لن يفقد قيمته.
1736	Is this the book you're looking for?	أهذا هو الكتاب الذي تبحث عنه؟
10682	Tom said he was really glad he did that.	توم قال أنه كان سعيدا لقيامه بذلك.
2574	May I run with you?	أيمكنني أن أركض معك؟
4150	Why is he angry about something like that?	لماذا هو غاضب بسبب شيء مثل ذلك؟
491	I think Tom likes me.	أظن بأن توم معجب بي.
11832	A lot of people are coming out of the movie theater.	الكثير من الناس يخرجون من دار السينما.
6885	Tom threw Mary out of the bar.	رمى توم ماري خارج البار.
908	Today is Independence Day.	اليوم هو عيد الإستقلال.
3215	Where did you buy that hat?	من أين اشتريت تلك القبّعة؟
5454	This book was easy.	كان ذاك الكتاب سهلاً.
10241	Do you have a lot to do today?	هل لديك الكثير لتفعله اليوم؟
2088	No one came except Mary.	لم يأت أحد سوى ماري.
1580	A lot of tourists invaded the island.	غزى الكثير من السياح الجزيرة.
8385	I was thinking of getting a dog.	كنت أفكر في الحصول على كلب.
427	She wants to buy a present for her boyfriend.	إنها تريد شراء هدية لصديقها.
5293	What time do you get up every day?	متى تستيقظ كل يوم؟
8243	I have a question I need to ask you.	لدي سؤال أريد سؤالك عنه.
885	They are watching what's happening closely.	إنهم يراقبون ما يحدث عن كثب.
5076	I'm trying to sleep.	أنا أحاول أن أنام.
4987	This book sold well in Japan.	هذا الكتاب بيع جيدا في اليابان
7585	I thought you might feel sorry for Tom.	ظننت أنك قد تشعر بالأسف على توم.
5714	Can I speak to Tom?	هل بإمكاني التحدث إلى توم؟
3101	Add a little milk.	أضف القليل من الحليب.
5543	You should've told Tom the truth.	كان يجب عليك أن تقول الحقيقة لتوم.
11871	I appreciate all you did.	أقدر كل ما فعلته.
4691	We have to do this by ourselves.	علينا ان نفعل هذا بأنفسنا
8668	I'm looking forward to your Halloween party.	أنا أتتطلع لحفلة الهالووين خاصتك.
5896	Did anyone call me while I was out?	هل اتصل بي أحد عندما كنت في الخارج؟
10976	I'm just having some fun.	أنا أتسلى قليلا فقط.
8046	The fact that Britain had no national anthem before 1745 is in itself of little consequence.	ان حقيقة بريطانيا كانت لا تملك نشيداً وطنياً قبل ١٧٤٥ هي بحد ذاتها شأن يذكر.
5902	I went to bed later than usual.	ذهبت للنوم متأخراً أكثر من العادة.
7200	Please insert your card.	من فضلك أدخل بطاقتك.
6933	Anyone can do that.	أي شخص يمكنه فعل ذلك.
9113	I'd like for Tom to tell you why he did what he did.	أريد من توم أن يخبركَ لماذا فعلَ ذلك.
9432	Destiny is sometimes cruel.	القدر في بعض الأحيان يكون قاسياً.
2618	When did Tom buy these eggs?	متى اشترى توم هذه البيضات؟
3417	Does this remind you of anybody?	هل يذكّر هذا بشخص ما؟
7338	Don't count your chickens before they hatch.	لا تَعَوِل على شيء جيد قبل حدوثه
5724	What is your date of birth?	ما هو تاريخ ميلادك؟
9772	Seeing the policeman, the man ran away.	هرب الرجل بعد أن رأى الشرطي.
9844	Please give me a cup of tea.	رجاء، أعطني كوبا من الشاي.
10487	I've spoken to your teachers.	لقد تحدّثت مع مدرّسيك.
7165	You have a way with women.	إنك تعرف كيف تتعامل مع النساء.
8416	We left the final decision to him.	تركنا القرار الأخير إليه.
3305	Tom doesn't want me to talk about what we discussed yesterday.	توم لا يريد مني التحدث عن ما ناقشناه بالأمس.
11850	She is well known both in Japan and in America.	إنها مشهورة في اليابان وأمريكا أيضًا.
3674	You should keep your room clean.	يجب ان تحافظ علي نظافه غرفتك
8320	I don't know how to drive a car.	لا أعرف كيف أقود سيارة.
8225	She owns a gigantic house.	هي تملك منزلا ضخما.
1566	Leave your desk as it is.	اترك مكتبك كما هو.
719	I just got my textbooks for this semester.	الآن حصلت على كتب هذا الفصل.
3468	What do you think I've been doing?	ماذا تعتقد أني كنت أفعل؟
11344	Tom never did regain his memory after the accident.	توم لم يستعيد ذاكرتهُ أبداً بعد الحادث.
6151	Don't trust anybody but yourself.	لا تثق بأحد عدى نفسك.
1178	There's nothing to be proud of.	لا يوجد أي شيء مدعاة للفخر.
3482	I want to learn that song.	أريد أن أتعلم تلك الأغنية.
6367	He seems to have been rich.	يبدو أنه كان غنياً.
8811	Are you ready for that?	هل أنت جاهز لهذا؟
2965	I arrived in Tokyo yesterday.	وصلت إلى طوكيو البارحة.
6194	The conference ended two hours ago.	أُختتم المؤتمر قبل ساعتين.
8469	I haven't finished my homework yet.	لم أُنهِ واجباتي بعد.
9669	Tom's next crime will be his last.	جريمة توم التالية ستكون الأخيرة.
4727	We can't stay for dinner.	نحن لا نستطيع الإنتظار للعشاء.
11400	Tom is getting married on Monday.	سيتزوج توم يوم الاثنين.
2157	Is this water drinkable?	ها هذا الماء صالح للشرب؟
6699	They had a dent in the rear door.	لديهم بعجة في الباب الخلفي .
8734	Tom said that he needs to call the police.	قال توم أنه يحتاج إلى أن يتصل بالشرطة.
8599	I have a new red car.	لدي سيارة حمراء جديدة.
8081	We can't leave Tom like this.	لا يمكننا ترك توم هكذا
9597	That was the best day of my life.	كان ذلك أجمل يوم في حياتي.
7394	There's a possibility of war.	هناك إحتمال أن تندلع الحرب.
9196	I want to forget about it.	أريد أن أنسى الأمر.
6702	She bought two pounds of butter.	اشترت رطلين من الزبدة.
2685	I'm sure Tom would never do that.	متأكد أن توم لن يفعل ذلك.
9828	I hope that you won't make the same mistake as Tom.	آمل ألا ترتكب نفس خطأ توم.
11721	"""Have you seen my cell phone?"" ""It's on the table."""	"""هل رأيت هاتفي الخليوي ؟"" "" إنه فوق الطاولة ."""
8138	Show me another watch.	أرني ساعة يد أخرى.
12093	You didn't know I shouldn't do that, did you?	لَمْ تَعلَمْ أنني لَمْ يَجِبْ أَن أَفعَلَ ذلك، ألَيسَ كَذلك؟
3149	I was trying to be polite.	كنت أحاول أن أكون مهذّبا.
8307	We haven't received any help from anyone.	لم نلق مساعدة من أحد.
1705	Tom complained that he couldn't find a job.	اشتكي توم من أنه لم يستطع إيجاد وظيفة
8070	Do you have a friend named Tom?	هل لديك صديق يسمى توم ؟
10759	I doubt I'll finish this today.	أشك أنني سأنهي هذا اليوم.
696	I'm sorry I wasn't able to attend Tom's funeral.	أنا أسف لعدم قدرتي لحضور عزاء توم.
780	My house is close to a bus stop.	يقع بيتي بالقرب من نقطة انتظار الحافلة.
9592	The best way to learn a foreign language is to go live in a country where it's spoken.	الطريقة الأفضل لتعلّم لغة أجنبية هي العيش في دولة تُسْتَعمَل بها هذه اللغة.
9286	You are the only one who can save the world.	أنت الواحد والوحيد الذي يستطيع إنقاذ العالم.
7604	What do you think is the best way to encourage Tom to study more?	ماذا تعتقد أفضل طريقة لتشجيع توم علىَ دراسة المزيد؟
11967	What do you like about her?	ما الذي يعجبك بشأنها؟
311	That noise was deafening.	كان ذلك الضّجيج يصمّ الآذان.
9215	The French flag is blue, white and red.	العلم الفرنسي ازرق و ابيض و احمر.
10584	You're wanted on the phone.	أحدهم على الهاتف يريدك.
2275	The cat slowly approached the mouse.	إقتربت القطة ببطأ من الفأر.
10855	You're not going to like what I'm going to say.	لن يعجبك ما سأقول.
9908	I learned a lot about Greek culture.	تعلمت الكثير عن الحضارة الإغريقية.
2270	This medicine will relieve your headache.	هذا الدواء سيخفف من صداعك.
5813	You must return the book to him.	يجب عليك أن تعيد الكتاب إليه.
6802	My father contracted pneumonia last month.	أصيب أبي بذات الرئة الشهر الماضي.
10362	You must not speak loudly.	يجب ألا تتحدث بصوت عالٍ.
7928	I'm ready to leave now.	أنا مستعد للمغادرة الآن.
7344	He can't run very fast.	لا يمكنه الركض بسرعة.
12014	Tom almost forgot the conference.	توم تقريباً نسيَ المؤتمر.
11535	I want to visit Korea.	أريد أن أزور كوريا.
6003	You should go see a doctor.	عليك أن تذهب إلى الطّبيب.
1305	Turn off the television. I can't concentrate.	أطفأ التلفاز. لا يمكنني التركيز.
8763	I certainly didn't expect to see you here in Boston.	بالتأكيد لم أتوقع أن أراك هنا في بوسطن.
1172	Tom lives in an old building.	يعيش توم في مبنى قديم
2700	I don't want to have anything to do with you.	لا أريد أن تكون أية صلة بين و بينك.
8761	How did you know that?	أنتَ كيف عرفتَ ذلك؟
1456	They're going to have a lot more questions than we do.	سوف يكون عندهم أسئلة أكثر كثيرا عننا.
4688	Go to church with your parents and pray for her.	اذهب إلى الكنيسة مع والديك وصلّ لها.
9770	Rear end collisions often cause whiplash.	غالباً ما تسبب الاصطدامات الخلفية اصابة في الرقبة .
5125	We don't have to do this every day.	ليس واجب علينا فعل ذلك يوميا.
8930	I do not think that he will come.	لا أعتقد أنه سيأتي.
4038	I understand, but I cannot agree.	فهمت، لكني لا أوافق.
10793	That feast was one of the best I ever had.	كانت الوليمة من أطيب ما ذقت.
9577	She may have left her umbrella on the bus.	ربّما نسيت المظلّة في الحافلة.
7942	He disclosed his intentions.	لقد كشف عن نواياه.
7269	When did Tom buy that shirt?	متى اشترى توم هذا القميص؟
9324	Guacamole is a dip made from avocados.	صلصة غواكامولي هي صلصة مصنوعة من الأفوكادو.
6556	Stress can have an enormous negative impact on your health.	يمكن للإجهاد أن يؤثر تأثيرا سلبيا كبيرا على صحتك.
6986	She promised not to be late again.	هي وعدت بأن لاتتأخر مرة اخرى.
9235	Don't you get bored when you're alone?	ألا تحس بالملل عندما تكون وحيداً؟
4324	You need to come home.	تحتاج إلى أن تعود إلى المنزل.
11487	What makes you so sure Tom was the one who stole your bicycle?	ما الذي يجعلك متيقّنًا بأنّ توم هو الذي سرق درّاجتك؟
10915	I returned the book to the library.	أعدت الكتاب إلى المكتبة.
1814	Is there any doubt?	هل هنالك أي شك؟
9164	I don't like it, either.	أنا أيضاً لا يعجبني ذلك.
628	I want to read as many English books as possible this year.	أريد أن أقرأ أكبر عدد ممكن من الكتب الإنجليزية هذه السنة.
9129	How did you make this soup?	كيف حضّرت هذا الحساء؟
2373	No fewer than 50 passengers were killed.	قُتل ما لا يقل عن 50 راكبًا.
9018	Mom, I'm home.	أمّاه، أنا في المنزل.
6116	Thank you very much, doctor.	شكراً جزيلاً لك أيها الطبيب.
1323	There is indisputable proof that Tom is the thief.	هناك دليل لا يقبل الجدل أن توم هو اللص.
11449	If Tom finds out I told you this, he'll kill me.	سيقتلني توم إن عرف أنّي قلتُ لكَ هذا.
2931	Are you planning to help them?	هل تنوي أن تساعدهم؟
2383	Could you tackle this?	هل يمكنك معالجة هذا الامر؟
2158	My children really like animals.	أولادي يحبون الحيوانات كثيراً.
1932	Do you see Tom often?	هل ترى توم كثيرا؟
533	There are no problems.	ليس هناك أي مشاكل.
2641	I work for an oil company.	أعمل لدى شركة نفط.
5798	Where's the closest train station?	أين أقرب محطة قطار؟
10126	Law and politics are two different things.	القانون والسياسة هما شيئان مختلفان.
166	What do you want now?	ما الذي تريده الآن؟
9447	I haven't found a doctor yet.	لم أعثر على طبيب حتى الآن.
30	I read at least one book every month.	أقرأ على الأقل كتاباً واحداً في الشهر.
5892	You should eat more fruit.	يجب أن تأكل المزيد من الفاكهة.
5894	I can't live without a TV.	لا يمكنني العيش من دون تلفاز.
9899	My wife is afraid to drive my new car.	زوجتي خائفة من قيادة سيارة جديدة.
3000	A little knowledge can be a dangerous thing.	القليل من المعرفة يمكن أن يكون شيء خطير.
7363	I'm looking forward to spending time with my family.	أنا أتتطلع لقضاء وقت مع أُسرتي.
12017	Nobody listened to me.	لا أحد يستمع إليّ.
9236	This idea is not rational.	هذه الفكرة ليست منطقية.
3896	Can it be phrased in another way?	ألا يمكن صياغتها بطَريقة أخرى؟
7300	Thank you for the information.	شكراً لكِ على المعلومة.
1842	Who's the boss of this company?	من يرأس هذه الشركة؟
8577	You like English, don't you?	إنك تحب الإنجليزية، أليس كذلك؟
2730	I was going to write to you, but I forgot.	كنت سأراسلك ولكني نسيت.
8546	The park is filled with children.	الحديقة العامة مليئة بالأطفال.
2992	Who owns this land?	من يملك قطعة الأرض هذه؟
11497	I prefer swimming to skiing.	أنا أفضل السباحة على التزلج.
5578	Let's play baseball when the rain stops.	لنلعب كرة القاعدة حين يتوقف المطر.
6520	We've received a lot of applications in answer to our advertisements.	استقبلنا الكثير من التطبيقات كردّ على الإعلانات.
7307	You are guilty of murder.	إنك مذنب بتهمة القتل.
6266	If Tom finds out I told you this, he'll kill me.	سيقتلني توم إن عرف أنّي قلتُ لكِ هذا.
7164	Please write with a pen.	من فضلك اِكتب بقلم حبر.
5386	I'd like to reserve a table for two.	أريد أن أحجز طاولة لشخصيْن.
9640	Could you give me a hand in the kitchen, please?	هل بإمكانك مساعدتي في المطبخ؟
1495	He will not be ready.	هو لن يكونَ مُسْتَعدّاً.
2863	All Tom really needed was a hug.	كل ما كان يحتاجه توم حقاً هو عناق.
10373	We use a lot of water every day.	إننا نستهلك الكثير من الماء يومياً.
2698	When shall we go?	متى علينا أن نذهب؟
8987	Those scientists are the cream of the crop.	هؤلاء العلماء هم صفوة الصفوة.
8340	I'm not sure what Tom was talking about.	لست متأكدا حيال ما كان يتحدث توم عنه.
2807	I have an allergy to milk.	لديّ حساسيّة من الحليب.
4785	Is this your first visit to this town?	هل هذه أول زيارة لك للمدينة؟
11006	What can you tell me about it?	ماذا يمكنك ان تقول لي عن ذلك؟
6895	You know the rest of the story.	أنتَ تعرف بقية القصة.
1624	Have you ever traveled alone?	هل سافرت لوحدك مرة؟
1376	Without music, the world would be a boring place.	بدون الموسيقى, العالم سيكون كمان مُمِل.
7080	They require extra help.	هم يحتاجون المزيد من المساعدة.
4537	You made the same mistake as last time.	أخطأت نفس خطإكَ المرة السابقة.
200	Could you please speak a little bit more slowly?	أيمكنك أن تتحدث ببطئ من فضلك؟
7799	I love watching basketball.	أحب مشاهدة مبارايات كرة السلة.
9021	Nobody answered the telephone.	لم يرد أحد على الهاتف.
1243	I'm sorry, but it's no longer available.	أنا آسف، ولكن هذا لم يعد متاحاً.
729	She goes to school on foot.	هي تذهبُ إلى المدرسة مشياً على الأقدام.
8300	Please complete the attached application form.	يرجى ملء نموذج طلب الوظيفة المرفق.
9222	I had my car stolen last night.	سُرقت سيارتي ليلة البارحة.
6405	That's why we fired Tom.	لذلك قد فصلنا توم.
5244	I used to live in Boston.	انا اعتدت العيش في بوستن
3321	I can't play piano.	لا أستطيع عزفَ البيانو.
613	Turn off the light, please.	أطفئ النور إذا سمحت.
1321	I think I'm in love.	أظن أنني وقعت في الحب
1655	What's important is not the goal, but the journey.	ما هو مهم ليس الهدف, ولكن الرحلة.
7784	I don't know what happens here.	أنا لا أعرف ما يجري هنا.
5492	How did you know that?	أنتِ كيف عرفتِ ذلك؟
290	I went for a walk in the park.	ذهبت لأتمشى في المتنزه.
3976	I'm sure that she will come back soon.	أنا متأكد من أنها ستعود قريباً.
1181	It looks like it'll be clearing up.	يظهر أن الجو سيصير صحوًا.
11020	Leaky faucets waste a lot of water.	الصنبور المسرب يهدر الكثير من الماء
9251	I cannot thank you enough for your assistance.	لا أعرف كيف أشكرك على مساعدتك هذه.
7877	"""Tatoeba"" means ""for example"" in Japanese."	"""Tatoeba"" معناها ""على سبيل المثال"" باللغة اليابانية."
9713	Cancer can be cured easily if it is found in its first phase.	يمكن معالجة السرطان إذا اِكْتُشِفَ في مرحلة مبكّرة.
1610	The murder remains a mystery.	ظلت جريمة القتل لغزاً.
5653	Tom spent the entire afternoon with Mary.	توم أمضى فترة بعد الظهر بأكملها مع ماري.
10120	This afternoon we will have an interview.	بعد ظُهر هذا اليوم سيكون لدينا مقابلة.
9534	May I stay here tonight?	هل يمكنني البقاء هنا الليلة؟
1926	My mother can't come.	أمي لا يمكنها المجيء.
11677	Be careful when you cross a road.	التمس الحذر وأنت تعبر الطريق.
5086	I can't bear the noise any longer.	لا يمكنني احتمال الضجيج أكثر من ذلك.
8414	I can't forget the day when I met him.	لا يمكنني أن أنسى اليوم الذي قابلته فيه.
11352	My boss is twice as old as I am.	رئيسي في العمل يكبرني عمراً بمرتين.
8364	We played soccer yesterday.	لعبنا كرة القدم بالأمس.
8903	The rumor isn't true.	تلك الإشاعة ليست صحيحة.
11701	My name doesn't appear on the list.	اسمي لم يظهر في القائمة.
2242	God helps those who help themselves.	ساعد نفسك و سيساعدك الله.
10291	We are responsible for your protection from now on.	حمايتك هي مسؤوليتنا من الآن فصاعداً.
1037	Your necktie matches your suit.	ربطة عنقك تليق ببزتك.
5965	You'd better not eat too much.	من الأفضل لك ألّا تأكل كثيراً.
4158	School begins at 8:30 a.m.	يبدأ الدوام الدراسي في الثامنة و النصف.
8671	I can't force you to talk.	لا أستطيع إجبارك على الكلام.
10563	Please leave a message on my answering machine.	رجاء اترك رسالة على المجيب الآلي.
10893	I just wanted you to help me.	أريد فقط أن تساعدني.
1324	You must endure the pain.	عليك أن تتحمل الألم.
1229	My mother took my temperature.	قامت أمي بقياس حرارة جسدي.
10835	Better late than never.	أن تأتي متأخرًا خيرٌ من ألا تأتي.
4311	I don't remember asking for your opinion.	لا أتذكر بأنني طلبت منك أن تبدي رأيك
11138	Can you order one for me?	هل يمكنك طلب واحد لي؟
1550	I got my foot caught in a train door.	علقت رجلي بباب القطار.
11833	You ought to be ashamed.	يجب أن تكون خجِلًا.
3046	His wife goes with him wherever he goes.	تذهب زوجته معه أينما ذهب.
8219	Did you enjoy the movies?	هل استمتعت بمشاهدة الفلم؟
12145	I paid 1,500 yen for this dictionary.	لقد دفعت 1,500 ين لهذا القاموس.
5365	I don't understand this question at all.	لست أستعوب هذا السؤال أبدا.
2950	I think you're right.	أعتقد أن ما تقوله صحيح.
9572	Tom doesn't look convinced.	لا يبدو على توم أنه مقتنعٌ.
7139	Everything I did, I did for Tom.	كلّ ما فعلتُ كان لِتوم.
10541	She is learning how to drive a car.	إنها تتعلم قيادة السيارة.
6368	Does this come in any other color?	أيتوافر هذا بلون مختلف؟
5336	You can take the bus to the station.	بإمكانك الوصول إلى المحطة عن طريق الحافلة.
641	I'm trying my best to forget that ever happened.	أنا أقوم بكل ما بوسعي لأنسى أنّ ذلك قد حدث.
2748	We don't have enough money to buy everything we need.	لا نملك من المال ما يكفي لشراء كل ما نحتاج.
126	I took him to the hospital.	أنا أخذتهُ إلي المستشفي.
2639	You'd better hurry up.	من الأفضل لك أن تسرع.
8819	This flower is more beautiful than that one.	هذه الوردة أجمل من تلك.
3405	You have nothing to fear.	ليس لديك ما تخشاه.
4220	Everything's going to be great as soon as Tom gets here.	كل شيء سيكون على ما يرام حالما يصل توم.
5301	I'm sorry that I can't meet you tonight.	آسف لكني لا أستطيع أن أقابلك الليلة.
3493	Maybe she will not come.	من الممكن أن لا تأتي.
2014	He speaks English with a German accent.	إنه يتكلم الإنجليزية بلكنة ألمانية.
10955	The strike affected the nation's economy.	أثًّر الإضراب على اقتصاد البلاد.
9083	Please repair the car.	من فضلك أصلح السيارة.
7104	Tom is hardworking and dependable.	توم مجتهد ويمكن الإعتماد عليه.
1773	She saved a hundred dollars.	لقد ادخرت مائه دولار.
6201	What would you say if you were in my place?	ماذا كنتَ ستقول لو كنت في مكاني؟
5791	I haven't paid for the tickets yet.	لم أدفع ثمن التذاكر بعد.
8139	Could you show me that?	أيمكنك أن تُرِيَني ذلك؟
