	eng	deu
3726	Sometimes I doubt your intelligence.	Manchmal zweifle ich an Ihrer Intelligenz.
164558	Can you make it cheaper?	Kannst du es billiger machen?
74391	Where are you going with this?	Wohin gehst du damit?
120456	If it's not broken, don't fix it.	Wenn es nicht kaputt ist, repariere es nicht.
172779	I forgot to ask Tom for his advice.	Ich habe vergessen, Tom nach seinem Rat zu fragen.
57034	I don't like this camera.	Dieser Fotoapparat gefällt mir nicht.
86616	I don't have any siblings.	Ich habe keine Geschwister.
194841	Excuse me. Do you speak English?	Entschuldigen Sie. Sprechen Sie Englisch?
147056	You have to overcome the difficulties.	Ihr müsst die Probleme überwinden.
154129	Have you ever eaten durian?	Hast du schon einmal eine Stinkfrucht gegessen?
4477	I'm glad you're pleased.	Ich freue mich, dass Sie zufrieden sind.
37404	Tom ate mac and cheese.	Tom hat Käsemakkaroni gegessen.
6786	Tom is a self-taught artist.	Tom ist ein Künstler, der sich alles selbst beigebracht hat.
123126	I'm not a violent person.	Ich bin kein gewalttätiger Mensch.
198178	I only speak a little French.	Ich spreche nur ein bisschen Französisch.
157026	Has anything strange happened?	Ist etwas Komisches passiert?
89407	Smoking is really bad for you.	Rauchen ist äußerst schädlich.
136175	The lawyer's fee was very high.	Das Honorar des Anwalts war sehr hoch.
94304	Why are you talking like that?	Warum reden Sie so?
169141	Many are finding solace in gardening.	Viele finden Trost in der Gartenarbeit.
67931	I switched off the TV.	Ich habe den Fernseher ausgeschaltet.
46967	It's too easy.	Das ist zu leicht.
176158	The bathroom is downstairs.	Das Bad ist unten.
71826	Everybody should have a purpose.	Jeder sollte ein Ziel haben.
57982	I love these people.	Ich liebe diese Menschen.
28139	I think you like me.	Ich glaube, du magst mich.
104613	The room will be painted tomorrow.	Das Zimmer wird morgen angestrichen.
158846	Your Japanese is good.	Dein Japanisch ist gut.
188188	Are Tom and Mary really friends?	Sind Tom und Maria wirklich befreundet?
48214	I'm very happy for Tom.	Ich freue mich sehr für Tom.
192961	I understand your French.	Ich verstehe euer Französisch.
113576	Tom and I got married three months ago.	Tom und ich haben vor drei Monaten geheiratet.
7527	The water's very hot.	Das Wasser ist sehr heiß.
70557	I think I know why.	Ich glaube, ich weiß, warum.
4728	I said take it.	Ich sagte „Nimm!“
72145	Tom caught a shark.	Tom hat einen Hai gefangen.
126499	I'm not sure actually.	Ich bin mir eigentlich nicht sicher.
127453	We didn't know you were there.	Wir wussten nicht, dass du da warst.
153193	You're very upset.	Du bist sehr verärgert.
108690	He just wants attention.	Er will nur auf sich aufmerksam machen.
197763	Tom punched a hole in the wall.	Tom schlug ein Loch in die Wand.
137797	I'm almost as tall as my father.	Ich bin fast so groß wie mein Vater.
60892	I feel like taking a walk now.	Ich habe jetzt Lust, spazieren zu gehen.
139403	Are we safe in here?	Sind wir hier drinnen sicher?
121147	Don't you want to use mine?	Willst du nicht meine benutzen?
107264	He has a lot of creative ideas.	Er hat eine Menge kreativer Ideen.
68031	Where is your money?	Wo ist Ihr Geld?
93915	Tom can sing quite well.	Tom kann ziemlich gut singen.
178298	I've only got a few pens.	Ich habe nur wenige Stifte.
35319	My brother-in-law is a cop.	Mein Schwager ist Polizist.
176267	He earns twice my salary.	Er verdient das Doppelte meines Gehalts.
20915	I have Tom's address here somewhere.	Ich habe Toms Adresse hier irgendwo.
40554	He is tired from overwork.	Er ist wegen Arbeitsüberlastung ermüdet.
38527	What are we to do?	Was sollen wir tun?
102458	Are these your daughters?	Sind das Ihre Töchter?
117981	That's just not enough.	Das reicht einfach nicht.
105836	Being with him always makes me happy.	Es macht mich immer glücklich, wenn ich mit ihm zusammen bin.
132620	Mary is the best-looking woman I know.	Maria ist die hübscheste Frau, die ich kenne.
193815	See you tomorrow at the library.	Bis morgen in der Bibliothek!
149074	Was Tom really able to win?	Hat Tom es wirklich geschafft zu gewinnen?
17496	This doll is a gift from my aunt.	Diese Puppe ist ein Geschenk meiner Tante.
102582	He drives a pickup truck.	Er fährt einen Pickup.
57932	Tom is not far off the mark.	Tom liegt nicht weit daneben.
177379	Will you answer my question?	Wirst du meine Frage beantworten?
90986	I've finished reading that book.	Ich habe das Buch zu Ende gelesen.
55989	Did Tom say what happened exactly?	Hat Tom gesagt, was genau passiert ist?
94044	Tom swims very well.	Tom schwimmt sehr gut.
118352	Never leave your drink unattended.	Lassen Sie Ihr Getränk nie unbeaufsichtigt stehen!
99400	I can't just ignore Tom.	Ich kann Tom nicht einfach ignorieren.
149887	I already have a ticket.	Ich habe schon ein Ticket.
95227	I've heard that song before.	Ich habe dieses Lied schon einmal gehört.
64421	Tom was found dead in his study.	Tom wurde tot in seinem Arbeitszimmer aufgefunden.
102053	This is the reason I came here.	Das ist der Grund, weshalb ich herkam.
150154	Where is my seat?	Wo ist mein Sitzplatz?
150180	I have a cousin who lives in Australia.	Ich habe einen Cousin, der in Australien lebt.
121378	Could you lend me a hand?	Könntest du mir mal zur Hand gehen?
157177	Tom wasn't a bad coach.	Tom war kein schlechter Trainer.
11600	Tom kept looking at Mary.	Tom hörte nicht auf, Maria anzusehen.
132336	She knows how to play the guitar.	Sie kann Gitarre spielen.
103471	I like to know what's going on.	Ich möchte wissen, was los ist.
167925	You don't have the time.	Du hast keine Zeit dafür.
89297	He laid the book on the desk.	Er legte das Buch auf den Schreibtisch.
85536	You must be mistaken.	Sie müssen sich irren.
