	eng	ell
922	My car is faster than yours.	Τ' αυτοκίνητό μου είναι πιο γρήγορο από το δικό σου.
10679	I didn't feel comfortable because I didn't speak French.	Δεν αισθανόμουν άνετα επειδή δεν μιλούσα γαλλικά.
1780	I want to hear you play guitar.	Θέλω να σας ακούσω να παίζετε κιθάρα.
12592	I'll be ready on Monday.	Θα είμαι έτοιμος τη Δευτέρα.
14336	Don't talk about my girlfriend like that.	Μη μιλάτε έτσι για τη φιλενάδα μου.
3924	I'm not Tom's sister.	Δεν είμαι η αδερφή του Τομ.
12357	We slept in the same room.	Κοιμηθήκαμε στο ίδιο δωμάτιο.
12087	These are my favorites.	Αυτοί είναι οι αγαπημένοι μου.
6838	They're able to speak French.	Μπορούν να μιλήσουν Γαλλικά.
17286	You're an excellent writer.	Είστε μια εξαιρετική συγγραφέας.
525	I read it to my family.	Τη διάβασα στην οικογένειά μου.
445	Whose idea was it to call the police?	Ποιανού ιδέα ήταν να καλέσει την αστυνομία;
3351	Tom said Mary won't be angry.	Ο Τομ είπε η Μαίρη δε θα θυμώσει.
2589	I came here as fast as I could.	Έφτασα εδώ όσο γρηγορότερα μπορούσα.
15158	Most of the passengers were Canadians.	Οι περισσότερες από τις επιβάτισσες ήταν Καναδές.
11716	We won't do it.	Δε θα το κάνουμε.
9685	You still love her, don't you?	Την αγαπάς ακόμη, έτσι δεν είναι;
11116	Do you think that you could help me weed the garden this afternoon?	Νομίζεις ότι θα μπορούσες να με βοηθήσεις να βγάλω τα χόρτα απ' τον κήπο το απόγευμα;
8773	Is this book yours?	Αυτό το βιβλίο είναι δικό σας;
16229	This word is still in use.	Αυτή η λέξη είναι ακόμα εν χρήση.
1959	I shouldn't be laughing.	Δε θα 'πρεπε να γελάω.
1672	Tom travels less than Mary does.	Ο Τομ ταξιδεύει λιγότερο απ' ό,τι η Μαίρη.
5541	I don't like spiders.	Δε μ' αρέσουν οι αράχνες.
4161	We all know what Tom did.	Όλοι ξέρουμε τι έκανε ο Τομ.
16327	I wanted to tell you the truth.	Θέλησα να σου πω την αλήθεια.
13502	Tom saw Mary working.	Ο Τομ είδε τη Μαίρη να εργάζεται.
10483	I don't want you to die.	Δε θέλω να πεθάνεις.
1570	Tom has school tomorrow.	Ο Τομ έχει σχολείο αύριο.
9774	This is a beautiful country.	Αυτή είναι μια όμορφη χώρα.
9483	He wanted to see his boss in Tokyo before leaving for America.	Ήθελε να δει το αφεντικό του στο Τόκιο, πριν φύγει για την Αμερική.
16303	I want to speak to my lawyer.	Θέλω να μιλήσω στον δικηγόρο μου.
12339	I can't do anything for you.	Δεν μπορώ να κάνω τίποτα για σένα.
14609	Tom left for Australia.	Ο Τομ έφυγε για Αυστραλία.
11772	Tom is wearing a black tie.	Ο Τομ φοράει μαύρη γραβάτα.
14498	My brother can run very fast.	Ο αδελφός μου μπορεί να τρέξει πολύ γρήγορα.
8134	Many people pray before eating.	Πολλοί άνθρωποι κάνουν την προσευχή τους, πριν από το φαγητό.
2593	I guess someone must like Tom.	Μάλλον κάποια γουστάρει τον Τομ.
14972	Tom wants to go to Australia.	Ο Τομ θέλει να πάει στην Αυστραλία.
2419	I'll tell you later.	Θα σου πω αργότερα.
15118	No one slept that night.	Κανείς δεν κοιμήθηκε εκείνο το βράδυ.
5873	Give us a second.	Δώσε μας ένα δευτερόλεπτο.
16012	Tell Tom the truth.	Πες την αλήθεια στον Τομ.
13213	Hopefully, that's true.	Ας ελπίσουμε να αληθεύει.
5402	I thought you were Canadian.	Νόμιζα πως ήσαστε Καναδέζα.
2916	This bed is too soft.	Αυτό το κρεβάτι είναι πολύ μαλακό.
1314	Your clothes are filthy.	Τα ρούχα σας είναι βρόμικα.
869	I would like you to answer my questions.	Θα ήθελα να απαντήσεις στις ερωτήσεις μου.
7108	The water was warm.	Το νερό ήταν ζεστό.
8820	Let's not talk about Tom.	Ας μη μιλήσουμε για τον Τομ.
16995	I think watching TV is a waste of time.	Πιστεύω ότι το να βλέπεις τηλεόραση είναι χάσιμο χρόνου.
13653	Are you still living on Park Street?	Μένεις ακόμη στην οδό Παρκ;
17348	Tom didn't help us.	Ο Τομ δε μας βοήθησε.
3343	I watched a baseball game on television.	Παρακολούθησα έναν αγώνα μπέιζμπολ στην τηλεόραση.
16986	Would you give Tom a message for me?	Θα διαβιβάσετε για μένα ένα μήνυμα στον Τομ;
3848	She married him for his money.	Τον παντρεύτηκε για τα λεφτά του.
5644	Wear whatever you want.	Φόρα ό,τι θες.
8042	I'm not able to lift this stone.	Δεν είμαι σε θέση να σηκώσω αυτή την πέτρα.
11415	I admit that I made a mistake.	Έκανα λάθος, το παραδέχομαι.
