	eng	fin
52657	This movie is frightening to the children.	Tämä elokuva on lapsille pelottava.
16636	Mary is quite a looker.	Mari on tosi hyvännäköinen.
18711	You're splitting hairs.	Eikö tuo nyt mene jo vähän turhan pikkutarkaksi?
67796	I'm still kind of thirsty.	Olen yhä aika melko janoinen.
44315	What else could it be?	Mikä muu se voisi olla?
52429	This isn't possible.	Tämä ei ole mahdollista.
25531	It was when he was a child that he came to Japan.	Hän tuli Japaniin silloin, kun hän oli lapsi.
28471	He is liberal with his money and buys a lot of presents.	Hän on avokätinen ja ostaa paljon lahjoja.
29423	The tea is boiling hot.	Tee on kiehuvan kuumaa.
43936	Tom may be ticklish.	Tomi voi olla helposti kutiava.
55987	He came out from behind the curtain.	Hän tuli esiin verhon takaa.
3466	I'm sick of talking about it.	Olen kyllästynyt puhumaan siitä.
49006	The baby has been crying for almost ten minutes.	Se vauva on itkenyt jo lähes kymmenen minuutin ajan.
22085	Do it with me.	Tee se minun kanssani.
63447	I'd never hire Tom.	En palkkaisi Tomia töihin ikinä.
41070	She plans to stay at the Oriental Hotel.	Hän suunnittelee asuvansa hotelli Orientalissa.
27272	I've got to keep moving.	Minun täytyy pysyä liikkeessä.
3453	I am very grateful to you for what you've done for my family.	Olen todella kiitollinen siitä, mitä olet tehnyt perheeni hyväksi.
7982	Could you lend me your radio?	Voisitko sinä lainata radiosi minulle?
7072	Tom's cows were stolen during the night.	Tomin lehmät varastettiin yön aikana.
15096	Could you lend me your radio?	Voisitko lainata minulle radiosi?
31048	Could you take care of the baby for a while?	Voisitko pitää huolta vauvasta hetken?
51372	Tom and Mary were both wearing sunglasses.	Tom ja Mary käyttivät molemmat aurinkolaseja.
66744	Perhaps Tom and Mary are more than just friends.	Ehkä Tomi ja Mari ovat enemmän kuin ystäviä.
48118	You've got to trust me.	Sinun täytyy luottaa minuun.
42575	He still writes novels from time to time, but not as often as he used to.	Hän yhä kirjoittaa romaaneja satunnaisesti mutta ei yhtä usein kuin hänellä oli tapana.
11544	Tom had a narrow escape from death.	Tom pelastui täpärästi kuolemalta.
17310	He is prepared to help me.	Hän on valmistautunut auttamaan minua.
12848	It'll take a long time.	Siihen menee kauan aikaa.
64765	Tom is no longer welcome here.	Tom ei ole enää tervetullut tänne.
