	eng	hun
93456	How often do you study French?	Milyen gyakran tanulsz franciául?
47175	They sat in the front row of the concert hall and heard the orchestra clearly.	A koncertterem első sorában ültek, és tisztán hallották a zenekart.
25150	It's all very new to me.	Ez mind nagyon új nekem.
18635	Tom and Mary don't live in the same state.	Tom és Mary nem ugyanabban az államban élnek.
75806	Tom says he didn't know Mary couldn't swim.	Tom azt mondja, nem tudta, hogy Mari nem tud úszni.
44385	Please wait here until I get back.	Kérlek, várj meg itt, amíg vissza nem jövök.
2666	Tom couldn't restrain himself.	Tom nem tudta visszafogni magát.
96869	I've come to take you home.	Azért jöttem, hogy haza vigyelek.
95184	I certainly have had great luck.	Bionyára csak mákom volt.
45270	Why don't you let me decide?	Miért nem hagysz dönteni?
19216	Tom and Mary agreed to leave the party before midnight.	Tom és Mary megegyeztek, hogy éjfél előtt elhagyják a partit.
95587	Make sure you check all the pockets for tissues before washing your clothes.	Győződj meg arról, hogy ellenőrizted az összes zsebet papír zsebkendő után kutatva, mielőtt kimosod a ruhádat!
59481	That suit doesn't fit Tom very well.	Ez a ruha nem áll túl jól Tominak.
89960	We still have a few hours left.	Még van egy pár óránk.
28696	Did Tom come to the party?	Tamás eljött a partira?
94669	I wish you would make a list of the newly published books.	Szeretném, ha készítenél egy listát az utóbbi időben publikált könyvekről.
11856	It might be too late.	Talán már túl késő.
65630	I like playing with my dog.	Szeretek a kutyámmal játszani.
59981	Simplicity is worse than robbery.	Az egyszerűség rosszabb, mint a rablás.
67142	My brother watches television.	Az öcsém tévét néz.
28550	Tom asked Mary to be his wife.	Tom megkérte Maryt, hogy legyen a felesége.
46683	Tom has two brothers. Neither of them live in Boston.	Tomnak két bratyója van. Egyikük sem él Bostonban.
110471	A green carpet will not go with this blue curtain.	Egy zöld szőnyeg nem megy a kék függönyhöz.
110328	I don't like to drink water with ice.	Nem szeretek olyan vizet inni, amiben jégkocka van.
109348	We'll be waiting for you in the car.	Az autóban fogunk rád várni.
7246	Just follow your heart.	Csak kövesd a szívedet.
26280	Tom wore an embarrassing costume.	Tom ciki kosztümöt hordott.
46963	I hate it when you're so happy.	Utálom, amikor ilyen boldog vagy.
230	You don't think I can swim, do you?	Nem gondolod, hogy tudok úszni, ugye?
100776	Come with me, both of you.	Gyertek velem, mindketten!
58515	Tom isn't here anymore.	Tom már nincs itt.
85515	It's as easy as ABC.	Egyszerű, mint az ágybaszarás.
973	I kind of like it.	Azt hiszem, tetszik nekem.
93200	We must alert the police.	Szólni kell a rendőrségnek.
86280	Nuclear weapons are a threat to all humanity.	A nukleáris fegyverek az egész emberiségre nézve veszélyt jelentenek.
66417	Not everyone could hear what Tom said.	Nem mindenki hallotta, amit Tomi mondott.
15062	Did you feed the dog this morning?	Megetetted a kutyát ma reggel?
10110	I'm writing a song in French.	Egy dalt írok franciául.
101838	I'm the new teacher.	Én vagyok az új tanár.
66818	The contract expires next year.	Jövőre lejár a szerződés.
42122	We came to apologize.	Azért jöttünk, hogy bocsánatot kérjünk.
44964	Tom stopped at a rest area.	Tom megállt egy pihenőnél.
102876	Don't be afraid to trust your intuition.	Ne félj a megérzéseidre hagyatkozni.
17324	I don't need permission to do that.	Nincs hozzá engedélyre szükségem.
105054	Many students go to Europe for the purpose of studying music.	Sok diák megy Európába zenét tanulni.
63794	An awful thing happened today.	Borzalmas dolog történt ma.
55739	You must never forget that.	Ezt soha ne felejtsétek el!
40384	The rich are getting richer.	A gazdagok még gazdagabbak lesznek.
61667	You may go as long as you come home early.	Elmehetsz, de csak ha korán hazajössz.
104715	How much have we saved this month?	Mennyit spóroltunk ebben a hónapban?
41966	People sometimes do stupid things.	Az emberek néha csinálnak hülyeségeket.
64778	I'm afraid I have to go now.	Attól tartok, most mennem kell.
35388	Tom is getting better day by day.	Tom napról napra jobbá válik.
7946	Just sit back and enjoy the show.	Dőlj hátra és élvezd a műsort!
42773	How shall we deal with this matter?	Hogyan kezeljük ezt az ügyet?
30013	Tom never skips classes.	Tamás sohasem lóg óráról.
1323	I know everything I need to know.	Mindent tudok, amit tudnom kell.
40335	Where they burn books, they will eventually burn people.	Ahol könyveket égetnek, ott előbb-utóbb embereket is égetni fognak.
57925	I wonder who started that rumor.	Szeretném tudni, ki indította el a pletykát.
9237	Tom knocked on the door and waited.	Tom kopogott az ajtón, majd várt.
21014	Put your hands down.	Tedd le a kezed!
76682	Tom fell off his mother's lap.	Tom leesett az anyja öléből.
82780	What did you just say to me?	Mit is mondtál nekem?
106674	I've seen Tom help people.	Láttam, hogy Tom segít az embereknek.
4827	I've always dreamed of living abroad.	Mindig is azon álmodoztam, hogy külföldön élek.
15034	I don't have anything to say to Tom.	Nincs mit mondanom Tamásnak.
26801	Go back to what you were doing.	Menj vissza a dolgodra!
80845	Are we eating out tonight?	Ma este elmegyünk enni valahova?
39157	Tom said Mary was angry.	Tom azt mondta, Mary mérges volt.
70836	I don't care what Tom thinks.	Teszek rá, mit gondol Tamás.
43476	They walked three miles farther.	Négy kilométert mentek még.
31477	Tom will be arriving any moment.	Tom pillanatokon belül meg fog érkezni.
12446	It seems that Tom only eats fruits and vegetables.	Úgy tűnik, hogy Tom csak gyümölcsöt és zöldséget eszik.
110026	I think you know what I'm talking about.	Azt hiszem, tudod, hogy miről beszélek.
65877	The children competed with each other for their mother's attention.	A gyerekek versengtek egymással édesanyjuk figyelméért.
26512	We had a blast.	Nagyon jól éreztük magunkat.
108073	I can't resist her.	Nem tudok ellenállni neki.
108537	It isn't your fault.	Nem az ön hibája.
22840	Everything is now back to normal.	Most minden visszatért a normális kerékvágásba.
61977	We've been married for nearly thirty years.	Közel harminc éve házasok vagyunk.
45110	I'm not sure what it means.	Nem biztos, hogy tudom, hogy mit jelent.
36569	You should receive them by the end of the week.	Meg kéne kapnia a hét végére.
84489	My brother works in a bank.	A bátyám egy bankban dolgozik.
64157	I think you should ignore Tom.	Szerintem nem kéne tudomást venned Tomról.
102339	He will have spent all his money by the end of the month.	A hónap végére az összes pénzét el fogja költeni.
107808	I knew this was going to happen.	Tudtam, hogy ez fog történni.
89374	When and where shall we meet?	Mikor és hol találkozzunk?
94647	When should I feed my dog?	Mikor kellene megetetnem a kutyámat?
25378	Tom wants a pony.	Egy pónit akar magának Tomi.
87349	Nobody would see us.	Senki nem látna meg minket.
34048	Bus drivers might go on strike.	A buszsofőrök talán sztrájkolni fognak.
24365	You don't get to tell me what to do ever again.	Neked többé nincs módod megmondani, hogy mit tegyek.
10120	Tom wiped the lipstick off his cheek.	Tom letörölte a rúzst az arcáról.
102497	Tom has loved Mary for a long time.	Régóta szereti már Tomi Marit.
49974	How could something like this have gone unnoticed?	Hogy maradhatott valami ennyire észrevehetetlen?
10388	He has been to many places.	Már sok helyen járt.
57297	Tom could tell by Mary's accent that she wasn't a native speaker.	Mari kiejtéséből Tomi meg tudta állapítani, hogy nem anyanyelvű.
54574	Tom was scared and confused.	Tamás félt és össze volt zavarodva.
82285	The situation was hopeless.	A helyzet reménytelen volt.
107728	Tom is all bark and no bite.	Tom csak ugat, de nem harap.
10801	I know Tom isn't alone.	Tudom, hogy Tomi nincs egyedül.
94215	This was easier than I thought it would be.	Ez könnyebb volt, mint gondoltam.
35149	What's that on your face?	Mi az az arcodon?
68088	How can we prove it actually happened?	Hogyan tudjuk bebizonyítani, hogy ez valóban megtörtént?
8720	It's on your desk.	Ott van az asztalodon.
64899	I wish this was over.	Bárcsak vége lenne már!
1376	You've made a lot of mistakes.	Sok hibát követett el.
68419	Tom is getting really angry.	Tom kezd nagyon ideges lenni.
89107	Don't make me come back here.	Ne akard, hogy visszajöjjek!
15357	Do you think animals have a soul?	Gondolja, hogy van az állatoknak lelke?
63872	I know what you've done.	Tudom, hogy mit tettél.
86085	You have no idea what this is, do you?	Fogalmad sincs róla, hogy ez mi, igaz?
108981	It is rude to point at others.	Másokra mutogatni illetlen dolog.
49678	She talks as if she knew everything.	Úgy beszél, mintha mindent tudna.
109879	My name is very rare in my country.	Nagyon ritka a nevem az országomban.
83779	Are you spending enough time with your kids?	Elég időt töltesz a gyerekeiddel?
712	Stop worrying and get some sleep.	Ne izgasd magad, aludj egyet!
59140	The book's illustrations are very good.	A könyv illusztrációi nagyon jók.
25429	Tom made a quick calculation in his head.	Tom gyors fejszámolást végzett.
64127	I'll meet you in an hour.	Egy óra múlva találkozunk.
110146	He was robbed when coming home late at night.	Kirabolták, amikor késő este hazafelé tartott.
23479	This always makes me laugh.	Ez minden alkalommal megnevettet.
3622	Tom never said that he wanted to leave.	Tom soha nem mondta, hogy el akar menni.
86526	The bus is running about ten minutes late.	A busz nagyjából tíz perc késésben van.
17483	Mom loves you more than me.	Téged jobban szeret anyu, mint engem.
35498	Tom enjoyed himself at the party.	Tom jól érezte magát a partin.
76805	I can't stand people who lie all the time.	Ki nem állhatom az olyan embereket, akik állandóan hazudnak.
52626	I'll tell you what to do.	Megmondom neked, hogy mi a teendő.
25280	I will finish this work somehow.	Valahogy befejezem ezt a munkát.
709	Don't flirt with me, Tom.	Ne flörtölj velem, Tom!
65560	Just follow your heart.	Tedd csak, amit a szíved diktál.
88718	She likes Russian pop.	Kedveli az orosz popzenét.
38740	How old were you when you started studying French?	Hány éves voltál, amikor elkezdtél franciául tanulni?
61048	Tom and Mary purchased a small parcel of land on the edge of town, where they plan to grow vegetables.	Tom és Mary vásároltak egy kis telket a város szélén, ahol a terveik szerint zöldségeket fognak termeszteni.
6546	She ignored him all day.	Egész nap levegőnek nézte.
71106	What do you do exactly?	Pontosan mivel is foglalkozol?
38908	Please do it this way.	Így csináld, kérlek.
26596	Tom worked all day without taking a break.	Tom egész nap dolgozott, szünet nélkül.
49118	How do I get to the train station?	Hogyan jutok el a vasútállomásra?
12582	It's all in the file.	Minden benne van a dossziéban.
7047	She doesn't have as much patience as you do.	Neki nincs olyan sok türelme, mint neked.
101509	Do you think our team will win?	Úgy gondoljátok, hogy nyerni fog a csapatunk?
85604	How often do you wash your hair?	Milyen gyakran mosod a hajad?
68870	Who taught you that?	Azt ki tanította neked?
7366	He is a friendly person.	Ő egy barátságos ember.
72868	Don't believe the media.	Ne higgy a médiának!
46195	What he said turned out to be a lie.	Kiderült, hogy amit mondott, hazugság.
44259	Don't mind me, Tom. Just keep doing whatever it is you were doing.	Ne is törődj velem, Tom. Csak csináld tovább, amit eddig csináltál.
12106	Tom never forgave me.	Tom sohasem bocsátott meg nekem.
63930	Tom sat down on the floor.	Tom leült a földre.
93116	Much can be learned by observing how a child interacts at play with other children.	Sokat lehet tanulni abból, ha megfigyeljük, hogyan játszik egy gyerek a többiekkel.
19271	Tom knew there was only one exit.	Tom tudta, hogy csak egy kijárat van.
65084	Do you understand how it works?	Érted, hogy működik?
71103	My mother died when I was a kid.	Anyám meghalt, amikor gyermek voltam.
27452	I flew to Boston last week.	Múlt héten Bostonba repültem.
84766	That can be done.	Ezt meg lehet tenni.
41575	I don't want to leave you here on your own.	Nem akarlak itt magadra hagyni.
34019	He is one of my best friends.	Ő a legjobb barátaim egyike.
93751	May I have your birth date?	Megkérdezhetem, mikor született?
47400	Compare your answer with Tom's.	Hasonlítsd össze a válaszodat Toméval!
24028	How long is that story?	Milyen hosszú a történet?
3190	Tom has been trying to contact Mary all week.	Tom egész héten próbált Maryvel kapcsolatba lépni.
102451	Do you ask every new employee that question?	Minden új alkalmazottnak ezt a kérdést teszed föl?
43352	The function of the heart is to pump blood.	A szív feladata, hogy pumpálja a vért.
90267	I think I'm dying.	Azt hiszem, haldoklom.
33282	This is a good dictionary.	Ez egy jó szótár.
31941	He asked her to marry him, but she refused.	Megkérte a kezét, de ő kikosarazta.
44509	I bought this at the train station.	A vasútállomáson vettem ezt.
78506	Can I ask you something personal?	Kérdezhetek tőled valami személyeset?
102227	Tom has to cook dinner tonight.	Ma este Tomnak kell vacsorát főznie.
103033	In fact, you are quite right.	Tényleg, igazad van.
14325	I have never been to the States.	Sohasem voltam az Államokban.
57981	Tom gave me these old coins.	Tomi adta nekem ezeket a régi pénzérméket.
65429	We haven't yet bought a Christmas tree.	Mi még nem vettünk fenyőfát.
78132	We must reduce energy demand.	Csökkentenünk kell az energiafelhasználásunkat.
35121	Tom ate one slice of Swiss cheese.	Tom megevett egy szelet svájci sajtot.
27623	You have to hold on.	Ki kell még bírnod ezt.
108041	The museum is closed now.	A múzeum most zárva van.
53761	I live on the bottom floor.	Az alsó szinten lakom.
10471	Is it true that ginger increases circulation and improves your metabolism?	Igaz, hogy a gyömbér fokozza a vérkeringést, és javítja az anyagcserét?
61964	This doesn't fit into any category.	Ez nem fér bele egyetlen kategóriába sem.
6191	Nobody takes me anywhere.	Senki nem visz engem sehova.
33904	Tom is already making progress.	Tom máris halad előre.
30301	Mary was annoyed when Tom turned up unannounced, because it wasn't a convenient time for her.	Mary bosszús lett, hogy Tom bejelentés nélkül jelent meg, mert az időpont nem volt alkalmas a számára.
65645	Tom works on a farm not too far from here.	Tom nem túl messze egy gazdaságban dolgozik.
70853	I wish I had bought a smaller house.	Bárcsak kisebb házat vettem volna!
96078	I have no opinion on that matter.	Nincs véleményem a dologról.
20506	You're bound to succeed in the long run.	Hosszú távon biztosan sikerülni fog neked.
10553	Would you two give us a minute, please?	Egy kicsit magunkra hagynátok minket?
38156	A traffic accident caused us a lot of trouble.	Egy közlekedési baleset sok gondot okozott nekünk.
