	eng	ita
40527	Were you forced to do that?	Eri forzato a farlo?
3418	Tom lost his hearing aid.	Tom perse il suo apparecchio acustico.
143528	I will leave you alone.	Ti lascerò da solo.
62264	You like olives, don't you?	A voi piacciono le olive, vero?
116811	Tom is braver than me.	Tom è più coraggioso di me.
46912	What's worrying you?	Che cosa vi preoccupa?
91694	I'm afraid Tom is sick.	Temo che Tom sia malato.
798	Cold water, please.	Dell'acqua fredda, per piacere.
198741	I can help Tom do that.	Posso aiutare Tom a farlo.
151178	I'm much stronger.	Io sono molto più forte.
87412	I didn't show it to Tom.	Non lo mostrai a Tom.
69475	What's the whole story?	Qual è tutta la storia?
106863	This report is not perfect.	Questo rapporto non è perfetto.
89184	Pink is not just for girls.	Il rosa non è solo per le ragazze.
136979	I don't have a ticket yet.	Non ho ancora un biglietto.
150050	Tom was late to the party.	Tom era in ritardo alla festa.
131107	I have just arrived here.	Sono appena arrivato qui.
94342	Tom is divorced, isn't he?	Tom è divorziato, vero?
88423	Tom said he was doing fine.	Tom disse che stava andando bene.
197187	He was covered with mud.	Era ricoperto di fango.
152791	Tell us what you think.	Ci dica cosa pensa.
129967	The temperature is falling.	La temperatura è in calo.
62373	Tom said you wanted water.	Tom ha detto che voleva dell'acqua.
47150	You're always happy.	Voi siete sempre felici.
4198	Could you explain why?	Potresti spiegare il perché?
83478	I want to play the guitar.	Voglio suonare la chitarra.
67234	They told me it was a bomb.	Mi dissero che era una bomba.
110489	We're trying to win.	Stiamo cercando di vincere.
154339	I need you both to go now.	Ho bisogno che andiate entrambe ora.
143732	I can't marry Tom.	Io non mi posso sposare con Tom.
184286	Why aren't you upset?	Perché non sei scioccato?
27439	I felt very proud.	Mi sentivo molto orgoglioso.
152034	He asked for some money.	Lui ha chiesto un po' di soldi.
64503	You may quote me.	Voi mi potete citare.
166861	Tom doesn't have an alibi.	Tom non ha un alibi.
107082	She went on speaking.	Lei ha continuato a parlare.
59525	The parking lot is empty.	Il parcheggio è vuoto.
41854	I prefer spring to autumn.	Preferisco la primavera all'autunno.
174418	Can you drive a car?	Sai guidare un'automobile?
55167	Tom won't live long.	Tom non vivrà a lungo.
79565	Tom collected old coins.	Tom collezionava vecchie monete.
75397	Tom has a son named John.	Tom ha un figlio che si chiama John.
50623	I failed the written test.	Sono stata bocciata all'esame scritto.
109563	He's stupid and irrational.	È stupido e irrazionale.
166312	I'd like to get some sleep.	Io vorrei dormire un po'.
113363	Help me, please.	Aiutami, per piacere.
160654	You'll be quite safe.	Sarete abbastanza al sicuro.
134000	Have you heard about Tom?	Voi avete sentito di Tom?
115533	I'm not in love with Mary.	Io non sono innamorato di Mary.
92376	I like macadamia nuts.	Mi piacciono le noci di macadamia.
164916	I met your friend.	Ho incontrato il tuo amico.
90787	Tom was in the army.	Tom era nell'esercito.
22985	Is your radio new?	La vostra radio è nuova?
191899	I didn't ask for help.	Io non ho chiesto aiuto.
70902	Tom is one of my friends.	Tom è un mio amico.
9562	I think they're using you.	Penso che ti stiano usando.
100933	I'm happy to be back.	Io sono felice di essere tornata.
108895	Wasn't Tom here with you?	Tom non era qui con te?
1975	Can't I stay here with you?	Non posso restare qui con lei?
77613	I'm a lucky guy.	Sono un tipo fortunato.
4381	Please don't be sad.	Per piacere, non siate tristi.
186274	Did you invite him?	Voi l'avete invitato?
38335	Tom is the best runner.	Tom è il corridore migliore.
26485	Tom burned his hand.	Tom si bruciò la mano.
3673	I never liked Christmas.	Non mi è mai piaciuto il Natale.
75767	I counted up to 200.	Ho contato fino a 200.
183395	We barely know each other.	Ci conosciamo a malapena.
76367	When did you meet him?	Quando l'hai conosciuto?
154767	He likes this guitar.	A lui piace questa chitarra.
161148	We'll miss your laughter.	Ci mancherà la tua risata.
157985	Why are you not doing it?	Perché non la state facendo?
88964	I like many kinds of music.	Mi piacciono molti tipi di musica.
161639	I've forgotten something.	Io ho scordato qualcosa.
104249	I don't have your boots.	Non ho i vostri stivali.
70450	I saw Tom take your keys.	Vidi Tom prendere le sue chiavi.
49819	I want a room with a view.	Voglio una stanza con vista.
197420	I keep worrying about Tom.	Continuo a preoccuparmi per Tom.
51175	I'm doing great.	Io sto andando alla grande.
44366	I don't want to go to work.	Non voglio andare a lavorare.
114980	Tom and I are OK.	Io e Tom stiamo bene.
50990	What are you saying?	Che cosa stai dicendo?
60053	I have no idea who that is.	Io non ho idea di chi sia.
33628	I won't say anything.	Io non dirò nulla.
43085	Can you come pick me up?	Riesce a passarmi a prendere?
193960	The party is today.	La festa è oggi.
27070	What keeps you up so late?	Cosa ti tiene alzato fino a così tardi?
30006	I hid myself under the bed.	Mi sono nascosta sotto il letto.
39793	I'll come back tomorrow.	Io sarò di ritorno domani.
131460	How much honey did you buy?	Quanto miele ha comprato?
149754	He was fired for stealing.	È stato licenziato per aver rubato.
75963	Tom gave Mary a banana.	Tom ha dato una banana a Mary.
9829	I know you work hard.	Lo so che lavori sodo.
22269	I need a hug.	Ho bisogno di un abbraccio.
40641	Nobody's been inside.	Nessuno è stato dentro.
58897	I know it sounds familiar.	So che sembra familiare.
16040	I have great memories.	Io ho degli ottimi ricordi.
78868	Tom is a gondolier.	Tom è un gondoliere.
142897	We hope to see you soon.	Noi speriamo di vederti presto.
35787	I'm over thirty.	Io ho più di trent'anni.
14797	Tom might become violent.	Tom potrebbe diventare violento.
3462	It's a foregone conclusion.	È una conclusione prevedibile.
187173	I knew you'd protect me.	Sapevo che mi avrebbe protetto.
54152	I hope Tom is jealous.	Io spero che Tom sia geloso.
189702	I saw you hugging Tom.	L'ho vista abbracciare Tom.
10573	I can't do it in this heat.	Non riesco a farlo con questo caldo.
131948	I'm just being polite.	Io sto solo essendo educata.
154658	I'll be here tonight.	Io sarò qua questa sera.
172891	The baby stopped crying.	Il bebè smise di piangere.
136196	I want to be careful.	Io voglio essere prudente.
15923	Why aren't you tired?	Perché non siete stanche?
45477	I need to talk to Tom.	Ho bisogno di parlare con Tom.
84365	Tom isn't armed.	Tom non è armato.
143275	I waited three hours.	Io aspettai tre ore.
41596	It was a church event.	Era un evento di chiesa.
