	eng	kor
3852	Tom is taking baby steps.	톰은 걸음마를 하고 있어.
3420	How many eggs are there in the fridge?	냉장고에 계란 얼마나 있어?
2959	I'm too busy to see Tom.	나는 너무 바빠서 톰을 못 봐.
3802	A human body consists of a countless number of cells.	인간의 몸은 수많은 세포들로 구성되어 있어.
621	Tom says you're lonely.	톰이 말하길 네가 외로워한대.
2152	Here comes our teacher.	우리 선생님 여기 오신다.
2681	Tom is having a hard time swallowing.	톰은 삼키는 데 어려움을 겪고 있어.
2143	I can't believe Tom confessed.	나는 톰이 자백했다는 것을 믿을 수 없다.
3018	I know you hate school.	네가 학교를 싫어한다는 건 알고 있어.
3434	I hope that we don't have to wait for too long.	많이 안 기다려도 되면 좋겠다
1446	She came home very late.	그 사람은 집에 아주 늦게 왔어.
810	Have you ever studied archeology?	고고학을 공부해 본 적 있어?
3323	It's Tom's favorite French word.	이건 톰이 가장 좋아하는 프랑스 단어야.
235	Tom said Mary was overweight.	톰은 메리가 과다체중이라고 했다.
881	I know Tom is afraid of spiders.	난 톰이 거미를 무서워한다는 걸 알고 있어.
1661	I learned how to cook from Tom.	난 톰한테서 요리하는 법을 배웠어.
2599	Tom and Mary do as they're told.	톰이랑 메리는 자기들이 말한 대로 하고 있어.
115	I thought that I heard you coughing.	네가 기침한 소리를 들은 줄 알았어.
1713	Do you really think you can convince Tom to do that?	너 정말 톰이 그걸 하도록 설득할 수 있다고 생각해?
2835	Am I talking too much?	내가 너무 말을 많이 하고 있어?
3756	Tom used soap and water to wash his hands.	톰은 손을 씻으려고 비누랑 물을 썼다.
193	I assured Tom that I wouldn't do that.	난 톰한테 내가 안 그럴 거라고 단언했어.
3506	Humans can't live without air.	인간은 공기 없인 살 수 없어.
2928	His face was red.	그 사람 얼굴은 빨갰어.
2233	Tom asked for a discount.	톰은 값을 깎아달라고 했다.
1468	Why do you hate women?	왜 여자가 싫은 거야?
2124	Tom is a pretty good poet.	톰은 꽤 괜찮은 시인이야.
2743	The fact Tom did that can't be denied.	톰이 그걸 했다는 사실은 부인할 수 없는 사실이야.
3733	Tom prevented Mary from doing that.	톰은 메리가 그걸 못 하도록 막았어.
360	I don't believe Tom is a murderer.	난 톰이 살인자라고 믿지 않아.
2780	What do you remember about last night?	어젯밤에 대해 기억나는 게 뭐야?
1327	Why are you still working?	왜 아직도 일하는 중이야?
317	Are you really thinking about getting married?	너 정말로 결혼생각이 있어?
366	I like Korean cuisine.	전 한국 요리가 좋아요.
1553	I wish that I could've helped Tom more.	내가 톰을 더 도와줄 수 있었다면 좋았을 텐데.
3211	When does your winter vacation begin?	겨울 방학은 언제 시작하나요?
2193	I hope that this is the beginning of a beautiful friendship.	이게 아름다운 우정의 시작이길 바라.
3099	I'm not sure what it was, but it sounded like a gunshot.	그것이 무엇이었는지는 확신할 수는 없지만, 그것은 총소리처럼 들렸다.
3361	I hope Tom knows what to say.	톰이 어떤 말을 해야할지 알고있길 바라.
2446	Who taught you that?	그걸 누가 가르쳐 줬어요?
3069	Women are often judged by their looks.	여자들은 자주 외모로 평가된다.
1955	We are both in the same class.	우리 둘다 같은 반이네.
3271	I didn't think Tom knew how to drive.	난 톰이 운전하는 법을 안다는 걸 몰랐어.
733	Am I older than you?	내가 너보다 나이가 많아?
219	I'm sure Tom is going to be there.	톰은 거기에 갈 거라고 확신해.
1362	I don't want to study medicine.	난 의학을 공부하고 싶지 않아.
878	The gift was still wrapped.	선물은 아직도 포장 상태야.
647	I think that we're still too young.	우린 아직 너무 어린 것 같아.
1924	Tom looks old for his age.	톰은 나이에 비해 늙어 보여.
1688	Where can I learn how to surf?	어디서 서핑하는 법을 배울 수 있어?
2962	Tom baked three pies.	톰은 파이를 세개 구웠어.
3043	If Tom saw you doing that, he'd cry.	톰이 네가 이걸 하는 걸 본다면 울게 될 걸.
3584	Is that why they died?	그게 그 사람들이 죽은 이유야?
783	I'm happiest when I'm singing.	난 노래 부르고 있을 때가 가장 행복해.
652	I think Tom and Mary are right.	난 톰과 메리가 맞는 것 같다.
3029	Tom made Mary mad.	톰은 메리를 화나게 했어.
2978	Can I borrow your scissors?	네 가위 좀 빌려 줄래?
894	Tom can read, can't he?	톰은 읽을 수 있지?
1072	Tom, you've grown so fast.	톰아, 너 너무 빨리 자랐네.
2040	Women like men with mustaches.	여성은 수염이 있는 남성을 좋아해.
1311	Neither Tom nor Mary was injured.	톰도 메리도 안 다쳤어.
2960	Tom is going to be there tonight.	톰은 오늘밤 거기 있을 거야.
470	I want to be able to play the violin as well as Tom.	톰처럼 바이올린을 연주할 수 있으면 좋겠어.
1530	I'm seeing a trend here.	나는 여기서 유행(경향)을 본다.
3811	You should study French.	넌 프랑스어를 공부해야 할 것 같아.
2931	I shook Tom awake.	난 톰을 흔들어 깨웠어.
1358	Tom said that what you told me wasn't true.	톰은 네가 나에게 말한것은 사실이 아니라고 말했다.
1888	My daughter is still quite young.	내 딸은 아직 꽤 어려.
1472	I have some English books.	제게 영어책이 몇권 있습니다.
2166	I believe that the answer is straightforward.	대답이 직접적인 것 같아.
844	Tom thinks that Mary is lonely.	톰은 메리가 외롭다고 생각해.
2094	Learning a musical instrument trains the mind.	악기를 배우는 건 정신을 훈련시킬 수 있어.
3454	We don't lie.	우리는 거짓말을 하지 않아요.
291	It is difficult to convey the meaning exactly.	의미를 정확하게 전달하는 것은 어렵다.
3538	I eat meat almost every day.	나는 매일같이 고기를 먹고 있어.
1339	Tom was three when his mother was killed in a traffic accident.	톰은 어머님이 교통사고로 돌아가셨을 때 세 살이었어.
3128	I hope you have insurance.	당신이 보험이 있기를 바랍니다.
3405	We've been here since October.	우린 10월부터 여기에 있었어.
2813	Tom and Mary became very good friends.	톰과 메리는 아주 좋은 친구가 되었다더라.
2164	You're persistent, aren't you?	넌 끈질긴 사람이야, 맞지?
3797	Tom seems to be worried about something.	톰은 뭔가를 걱정하는 것 처럼 보여.
338	I know I'm going to learn a lot.	내가 많이 배우게 될 거라는 걸 알고 있어.
1271	I wonder if Tom is still unemployed.	톰이 아직도 실업자인지 궁금해.
1931	It's been nice talking to you, but I really must go now.	너와 이야기 하는 것은 정말 좋았는데, 근데 진짜 가봐야 해.
1979	Tom was totally into it.	탐은 그 것에 푹 빠져 있었다.
2920	What did Tom say exactly?	톰이 정확히 뭐라고 말했어?
1878	My ideas are different from yours.	내 생각은 너와 달라.
2764	We had fun with Tom.	우리는 톰과 즐거운 시간을 가졌다.
3208	I'm trying to help you keep your job.	나는 니가 일을 계속하게 도와주고 싶어.
1182	We want you to sing the song.	우리는 네가 그 노래를 불렀으면 좋겠다.
3752	I should've cooked the pork longer.	돼지고기를 더 구웠어야 했는데.
1593	Don't say something you'll regret later.	네가 나중에 후회할 만한 말은 하지마.
1586	Tom was the one who wrote this story.	톰이 이 이야기를 쓴 사람이었어.
1224	The baby was crying in bed.	아기가 침대에서 울고 있었어.
238	Why do I always get up at this time?	나는 왜 항상 이 시간에 일어날까?
758	That's my favorite expression.	이게 바로 내가 가장 좋아하는 표현이야.
2854	Don't put your hands out the window.	창밖으로 손을 내밀지 마세요.
3795	You don't seem to be as artistic as Tom.	넌 톰처럼 예술적으로 보이지는 않네.
37	Are there any girls here you haven't yet met?	네가 아직 만난 적 없는 여자애들도 여기 있어?
3250	Tom has been crying every night.	톰은 매일 밤마다 울어댔다.
608	Tom loves to study music.	톰은 음악 공부하는 걸 좋아해.
10	Tom is having a hard time.	톰은 힘든 시간을 보내고 있어.
657	Is there something that you wish to tell me?	저한테 하실 말씀이 있으신가요?
2442	Police are trained to use weapons.	경찰은 총을 쓸 수 있도록 훈련받았어.
2595	Tom and John pretended to be brothers.	톰이랑 존은 형제인 척 했다.
2278	Who woke Tom up this morning?	오늘 아침 누가 톰을 깨웠니?
428	Tom walked towards the stairs.	톰은 계단을 향해 걸어갔다.
431	Tom doesn't eat any fish except canned tuna.	톰은 참치통조림 이외의 생선류는 절대 먹지 않아.
2356	Tom seems to be very lonely.	톰은 무척이나 외로워 보여.
908	Tom found out what went wrong.	톰은 뭐가 잘못됐는지 알아챘어.
1146	The police believe Tom acted alone.	경찰은 톰이 혼자인 척 했다고 믿고 있어.
839	We don't know whether Tom can come or not.	우리는 톰이 올수 있을지 없을지 모릅니다.
1397	Tom didn't tell Mary why he had to work late.	톰은 메리에게 왜 그가 늦게까지 일해야 했는지 알려주지 않았다.
1476	I spent two hours reading a book last night.	나는 어젯밤에 책을 읽느라 두 시간을 보냈어.
578	Actinium melts at 1,051°C.	악티늄은 1,050°C일 때 녹아.
1368	You're very astute.	넌 참 눈치가 빠르네.
3723	I really like snow.	나는 눈이 정말 좋아요.
66	Foxes are my favorite animal.	여우는 내가 가장 좋아하는 동물이야.
2846	The cat lay hidden in the bushes.	고양이가 덤불 속에 숨어 있었어.
1028	Your cat scratched me.	네 고양이가 날 할퀴었어.
3702	Don't you feel the house shaking?	집이 흔들리는거 같지 않아?
108	I thought that you'd forgotten.	네가 잊어버린 건 줄 알았어.
1429	She is always at the bottom of the class.	그녀는 항상 반에서 꼴찌입니다.
1115	My favorite subject is science.	내가 가장 좋아하는 과목은 과학이야.
1566	Do you two want to be alone?	너희 둘은 혼자가 되고싶어?
53	I should've never trusted Tom.	나는 톰을 믿지않았어야 했어.
402	I've been kidnapped.	나 유괴 당한 적 있어.
1313	Tom is reading a magazine.	톰은 잡지를 읽고 있어.
264	Could you make sure Tom is OK?	톰이 괜찮은지 확인해줄 수 있어?
2732	Do you think Tom is lying?	너는 톰이 거짓말을 하고 있다고 생각하니?
3224	I may be too old.	난 아마 너무 늙었어.
21	This isn't a French word.	이건 프랑스어 단어가 아니야.
2049	Come on. Give it a try.	괜찮아. 한 번 해봐.
260	Tom is ashamed of his body.	톰은 자기 몸을 창피해하고 있어.
1312	Astronomy is by no means a new science.	천문학은 결코 신생 과학이 아니야.
495	Will Tom come with his wife, or alone?	톰이 자기 아내랑 올까, 아니면 혼자 올까?
1991	He kept me waiting.	그는 나를 기다리게 했다.
2553	Where is the bank?	그 은행은 어디에 있어요?
1720	Lack of sleep is bad for the body.	수면 부족은 몸에 나빠.
659	I want Tom to go to Australia to visit his uncle.	난 톰이 삼촌네에 방문하러 호주에 갔으면 좋겠어.
910	I know that Tom is a very good chess player.	나는 톰이 체스를 아주 잘 둔다는 것을 알고 있어.
927	It's difficult for me to express myself in French.	프랑스어로 자기소개를 하는 것은 내게 어려운 일이다.
741	Can the matter wait till tomorrow?	그 일은 내일까지 기다려도 돼?
343	When should I do that?	내가 언제 그걸 하면 될까?
2560	I want Tom to help me clean the house.	난 톰이 집청소를 도와줬으면 해.
2767	He won't let anybody sit in his armchair.	그는 아무도 그의 안락의자에 못 앉게 할 것이다.
131	Tom wasn't in when I dropped by.	톰은 내가 들렸을 때 없었다.
3451	I don't like Boston as much as I used to.	난 보스턴을 예전만큼 좋아하지 않아.
1560	He stopped smoking last year.	그 사람 작년에 담배 끊었어.
134	Did you know Tom was lonely?	톰이 외롭다는 걸 알고 있었어?
1801	Tom isn't here, I assure you.	톰은 여기 없어, 내가 장담해.
3639	I wasn't comfortable with the situation.	난 이 상황이 편안하지 않아.
2227	I wish I could remember everything Tom told me.	난 톰이 나한테 말한 모든 것을 기억했으면 좋겠어.
2773	Why are you acting so childish?	넌 왜 그렇게 애같이 굴어?
233	I saw Tom working.	난 톰이 일하는 걸 봤어.
196	Tom said that Mary was autistic.	톰이 말하길 메리가 자폐증이래.
728	Help yourself to anything you'd like to eat.	먹고 싶은 것들 마음껏 먹어.
2175	I've read your book. It was very interesting.	당신 책을 읽어봤었어요. 꽤 흥미롭더라구요.
2400	I'm looking for a hat to match a brown dress.	갈색 드레스와 어울리는 모자를 찾고 있어요.
649	That's why I've done all this.	그게 내가 이 모든 것을 한 이유이다.
2149	Tom sat down by the fire.	톰은 불 옆에 앉았다.
488	Tom is married to a Canadian woman named Mary.	톰은 메리라는 캐나다 여성이랑 결혼했어.
2730	Of course you have to pay. What did you think?	당연히 돈을 내야한다. 어떻게 생각했니?
265	We have a white cat.	우린 하얀색 고양이를 가지고 있어.
1800	I think the mistake is mine.	이건 내탓인 것 같아.
1164	Tom slammed down the phone.	톰은 전화기를 쾅 놓았다.
316	Tom was standing outside the window, listening to Mary and John talking.	톰은 메리와 존이 말하는 것을 들으며 창문 밖에 서 있었다.
1940	It's not as difficult as you think.	그건 네가 생각하는 만큼 어려운 건 아냐.
2372	Not all of my cats are gray.	모든 고양이가 회색인 건 아니야.
2176	I've always been an independent person.	난 전부터 항상 독립적인 사람이야.
1861	Tom is better at French than I am.	톰이 나보다 프랑스어 잘해.
776	I hate my voice.	나는 내 목소리가 싫다.
2200	The new subway enables me to get to school in 20 minutes.	새 지하철은 20분 만에 학교에 갈 수 있게 해줘.
2134	They made fun of Mary.	그들이 메리를 즐겁게 했다.
496	Sorry, but I'm busy.	미안한데, 나 바빠.
509	"How do you say ""I love you"" in French?"	"""사랑해""를 프랑스어로 어떻게 말해?"
1972	I tried to act cool.	나는 쿨하게 보이려고 노력했어.
3019	Tell me what you said to Tom.	네가 톰한테 뭐라고 말했는지 알려줘.
2012	I have to introduce Tom to the manager.	나는 톰을 매니저에게 소개시켜줘야 합니다.
3275	I only did the bare minimum.	난 가장 최소한의 정도만 했어.
2619	Tom is lonely because he has no one to play with.	톰은 같이 놀 사람이 없어서 외로워하고 있어.
1078	I knew that Tom didn't want to do that again.	난 톰이 저걸 다시는 하기 싫어한다는 걸 알고 있었어.
3662	I like learning ancient languages.	난 고대 언어를 배우는 걸 좋아해.
