	eng	nld
900	Cats don't eat bananas.	Katten eten geen bananen.
29963	Tom rolled up his trouser legs, making his bright red socks visible.	Tom rolde zijn broekspijpen op, zodat men zijn knalrode sokken kon zien.
26504	I thought Tom was going to Australia with you.	Ik dacht dat Tom met jou naar Australië ging.
28175	You have to leave Australia.	Jullie moeten Australië verlaten.
26173	They believed that the earth was flat.	Ze geloofden dat de wereld plat was.
49733	How long have you been feeling like this?	Hoe lang voel je je al zo?
9213	I need you to go home.	Je moet naar huis.
39896	I don't think I'm the only one here who speaks French.	Ik denk dat ik hier niet de enige ben die Frans spreekt.
8154	A cat is lying on the sofa.	Er ligt een kat op de sofa.
61291	Don't go barefoot.	Ga niet op blote voeten.
42299	"Why is autumn called ""fall"" in America?"	"Waarom wordt de herfst ""fall"" genoemd in Amerika?"
14263	That's the car that I want to buy.	Dat is de auto die ik wil kopen.
47152	You really don't believe that, do you?	Dat geloof je toch niet echt?
12766	I don't tolerate that kind of behavior.	Zo'n gedrag duld ik niet.
19377	They killed a goat as a sacrifice to God.	Ze hebben een geit geslacht als offer voor God.
40386	I'll give him a call tonight.	Ik zal hem vanavond bellen.
27187	You have to go pick it up.	Je moet het ophalen.
12645	You need to clean the bathroom.	U moet de badkamer schoonmaken.
6538	Who might want to frame you?	Wie zou je erin willen luizen?
5077	What a hot day!	Wat een hete dag!
371	I feel like getting some fresh air.	Ik wil wat frisse lucht krijgen.
43050	You're Tom, aren't you?	Jij bent Tom, niet?
5867	It's all the same to me.	Mij maakt het niet uit.
60133	The magazine you lent me is very interesting.	Het tijdschrift dat je me geleend hebt is erg interessant.
17616	Does Tom want another one?	Wil Tom er nog een?
4799	I hope you washed that apple before you started eating it.	Ik hoop dat je die appel hebt gewassen voordat je ervan ging eten.
35482	What did she buy at that store?	Wat kocht ze in die winkel?
15741	I am weak in math.	Ik ben zwak in wiskunde.
23382	Is there anybody in the house?	Is er iemand in het huis?
70402	Tom and Mary have a love-hate relationship.	Tom en Mary hebben een haat-liefdeverhouding.
24648	Tom ate a hamburger.	Tom at een hamburger.
47591	I have a lot of ambition.	Ik heb veel ambitie.
36896	Where in Turkey do you live?	Waar woon je in Turkije?
12003	Is that a problem?	Is dat een probleem?
3956	People used to think that the earth was flat.	Vroeger dacht men dat de aarde plat was.
