	eng	pol
46097	I have known her since she was a baby.	Znam ją, odkąd była niemowlakiem.
14989	I'm not sure I share your optimism.	Nie jestem pewien, czy podzielam twój optymizm.
10545	There's no need to be insulting.	Nie trzeba być obraźliwym.
4677	You've made me the happiest man in the world.	Uczyniłaś mnie najszczęśliwszym mężczyzną na świecie.
40658	He drank a cup of tea and then asked for another.	Wypił filiżankę herbaty i zaraz potem poprosił o następną.
44066	I want you to tell me the truth.	Chcę, żebyś powiedział mi prawdę.
42729	Do I have any other choice?	Czy mam jakiś inny wybór?
43159	It was a pleasure working with you folks.	Współpraca z wami to była czysta przyjemność.
22109	I'm talking about my friend.	Mówię o moim przyjacielu.
1333	As a vegetarian, she doesn't eat meat.	Jako wegetarianka, nie je mięsa.
37459	There are too many people on this bus.	Jest zbyt wielu ludzi w tym autobusie.
25776	I asked Tom to lend me some money.	Poprosiłem Toma, aby pożyczył mi pieniądze.
6058	I gave Tom all the money I had on me.	Dałem Tomowi wszystkie pieniądze, które miałem przy sobie.
7285	This is the book Tom and I were talking about.	To jest ta książka, o której rozmawialiśmy z Tomem.
18992	I don't want to marry Mary.	Nie chcę żenić się z Mary.
2255	Can you tell me how to fill in this form?	Mógłbyś powiedzieć mi jak wypełnić ten formularz?
29321	Why do you want to borrow my knife?	Dlaczego chcesz pożyczyć mój nóż?
825	Give me your opinion, please.	Chciałbym usłyszeć twoje zdanie.
9111	It's not there.	Nie ma tam tego.
11564	It's often said the best way to learn a foreign language is to learn from a native speaker.	Często mówi się, że najlepszą metodą nauki języka jest nauka z rodzimym jego użytkownikiem.
1470	Has anyone seen it yet?	Czy ktoś już to widział?
6083	I've done nothing interesting today.	Nie zrobiłem dzisiaj nic interesującego.
7917	Why on earth would I do that?	Po jakiego grzyba miałbym to robić?
13475	When I awoke, it was snowing.	Kiedy się obudziłem, padał śnieg.
41165	It's more difficult than you think.	To jest trudniejsze niż myślisz.
22889	The law is still in effect.	Ten przepis wciąż obowiązuje.
8807	Look at that handsome boy.	Spójrz na tego przystojnego chłopca.
10070	I'm well aware of the situation.	Jestem w pełni świadom sytuacji.
6396	Don't judge others by the color of their skin.	Nie osądzaj innych po kolorze skóry.
38567	Why are you pretending you can't understand French?	Czemu udajesz, że nie możesz zrozumieć francuskiego?
26585	Are you going to go anywhere this summer?	Czy idziesz gdziekolwiek tego lata?
31490	Who does this suitcase belong to?	Do kogo należy ta walizka?
16935	He only listens to rock bands from the fifties.	On słucha wyłącznie zespołów rockowych z lat pięćdziesiątych.
40310	Something you should know about me is that my greatest fear in life is that people will find out that I'm poor.	Trzeba ci wiedzieć, że moją największą obawą w życiu jest to, że ludzie zorientują się, że jestem ubogi.
40472	She has an uncle who works in a bank.	Ona ma wujka, który pracuje w banku.
17571	Tom didn't want to believe me.	Tom nie chciał mi wierzyć.
14901	Take this medicine twice a day.	Zażywaj ten lek dwa razy dziennie.
18995	The world needs talented people.	Świat potrzebuje zdolnych ludzi.
36406	I wasn't aware that you were feeling so bad.	Nie wiedziałem, że czujesz się tak źle.
5985	I wouldn't like to work in a hospital.	Nie chciałabym pracować w szpitalu.
46044	"The policeman aimed his gun at Tom and yelled, ""Hold it right there!"""	"Policjant wycelował broń w kierunku Toma i krzyknął ""Nie ruszaj się!""."
15047	My grandfather predeceased my great-grandfather.	Mój pradziadek przeżył mojego dziadka.
28112	Why do you have so many cats?	Dlaczego macie tak dużo kotów?
10706	I don't think that Tom would be doing that if he didn't want to.	Nie wydaje mi się, żeby Tom zamierzał to robić, gdy nie miał ochoty.
32522	Yes. That's right.	Tak. To prawda.
9805	Tom comes here every single day.	Tom przychodzi tutaj każdego dnia.
25018	After school, Tom usually sticks around as long as he can because he doesn't want to go home.	Po szkole Tom zazwyczaj snuje się tak długo, jak tylko może, ponieważ nie chce iść do domu.
24467	I'm going to try real hard to be nice to Tom.	Bardzo się postaram być miły dla Toma.
13375	It's not a gimmick.	To nie jest sztuczka.
39821	Plants die without water.	Rośliny umierają bez wody.
20366	Is your gun loaded?	Czy twoja broń jest naładowana?
18323	I wish that Tom would leave.	Chciałbym, żeby Tom sobie poszedł.
22021	You're in the right place.	Jesteś w dobrym miejscu.
15478	Keep your eyes closed until I tell you to open them.	Miej oczy zamknięte, dopóki nie powiem ci, żebyś je otworzył.
7559	One is new, and the other is old.	Jeden jest nowy, a drugi stary.
39103	The question is who's going to go first.	Pytanie, kto pójdzie pierwszy.
11255	There's a book about dancing on the desk.	Na biurku jest książka o tańcu.
38736	I was just wondering how much it would cost to have my car washed and waxed.	Ciekawe, ile by kosztowało umycie i nawoskowanie mojego samochodu.
10096	I don't want to lose you again.	Nie chcę cię znów stracić.
11755	You can't blame me for that.	Nie możesz mnie za to winić.
9448	Is this what you've been searching for all this time?	Tego szukałeś cały czas?
7422	How often do you go fishing?	Jak często chodzisz na ryby?
14596	It looks like Tom was wrong.	Wygląda na to, że Tom nie miał racji.
15994	Tom just wrote a book.	Tom właśnie napisał książkę.
45436	Tom does only what he wants to do.	Tom robi tylko to, co chce.
39355	I shouldn't have drunk that last bottle of beer.	Nie powinienem był pić tej ostatniej butelki piwa.
