	eng	por
34447	That's exactly what I would've chosen.	Isso é exatamente o que eu teria escolhido.
111716	Whenever I hear this song, I think of his smile.	Sempre que escuto essa música, penso no seu sorriso.
9615	You never learn, do you?	Você nunca aprende, não é?
136835	Tom did the best he could do.	Tom fez o melhor que pôde.
72711	It means nothing to me.	Não significa nada para mim.
99905	That's the right answer.	Essa é a resposta correta.
175182	My client never should've been arrested.	Meu cliente nunca deveria ter sido preso.
32813	Tom wasn't alone at the time.	Tom não estava sozinho na época.
130224	When will you arrive?	Quando você vai chegar?
8683	I'm a cab driver.	Sou motorista de táxi.
45520	The couple had a son.	O casal teve um filho.
112463	Tom wanted to eat spaghetti.	Tom queria comer espaguete.
30524	Tom never talks about his job.	Tom nunca fala sobre o seu trabalho.
133155	I went to work by car.	Fui trabalhar de carro.
34286	I thought we could be friends.	Achei que pudéssemos ser amigas.
99453	I believe that he's happy.	Eu acho que ele está feliz.
126917	He went there by himself.	Ele foi ali sozinho.
75626	I've already told you I don't plan to do that.	Eu já te disse que não planejo fazer isso.
73542	You don't have a fever.	Você não está com febre.
130475	Rents are high in this area.	Os aluguéis são altos nessa área.
3643	Tom filled the kettle with water.	Tom encheu a chaleira com água.
27446	I didn't come here to party.	Eu não vim aqui para festejar.
11542	Don't you do that, Tom.	Não faça isso, Tom.
64431	What was the matter?	Qual era o problema?
91264	There's a telephone in the hall.	Tem um telefone no corredor.
62523	Tom wasn't in love with Mary. He was in love with Alice.	Tom não estava apaixonado por Mary, ele estava apaixonado por Alice.
55044	Tom was like a father to Mary.	O Tom era como um pai para a Maria.
68390	We'll be in Australia for three more days.	Nós ficaremos na Austrália por mais três dias.
139304	I'm younger than you.	Sou mais novo que você.
113459	I'm going to need it.	Eu vou precisar disso.
112162	I felt safe inside the cave.	Me senti seguro dentro da caverna.
129662	There were many delicious snacks at the party.	Na festa havia muitos salgadinhos gostosos.
37434	As soon as we got there, it began to rain.	Assim que a gente chegou lá, começou a chover.
90256	I'm not the only person who can help Tom do that.	Eu não sou a única pessoa que pode ajudar Tom a fazer isso.
59568	I don't think Tom would do that on purpose.	Não acho que Tom faria isso de propósito.
136444	How would you like it if someone did that to you?	Gostarias que alguém fizesse isso contigo?
28884	The water is good.	A água está boa.
1099	He told a funny story.	Ele contou uma história engraçada.
8595	Tom clearly wants to help.	Tom claramente quer ajudar.
47248	Tom will find them.	Tom vai encontrá-los.
173623	His failure in business left him penniless.	O fracasso dele nos negócios o deixou quebrado.
179127	Tom asked me to forgive him.	Tom pediu que eu o perdoasse.
83138	Tom told me to stop.	Tom me disse para parar.
22145	Tom and I are teachers.	Tom e eu somos professores.
172261	Do you want to kiss me?	Você quer me beijar?
166128	What songs did you sing?	Qual música você cantou?
8028	I was too shy.	Eu era muito tímido.
17343	I must speak with you.	Preciso falar com você.
141908	I think Tom is doing that as well.	Acho que Tom também está fazendo isso.
146474	Tom is convinced Mary is the one who stole his clarinet.	Tom está convencido de que Mary foi quem roubou seu clarinete.
24532	Thanks for understanding, Tom.	Obrigado pela compreensão, Tom.
8166	I'm Tom's dentist.	Sou o dentista de Tom.
106539	Tom thinks that's normal.	Tom acha que isso é normal.
2873	With her help, my French improved little by little.	Com sua ajuda, o meu francês melhorou pouco a pouco.
138908	He didn't like to be punished.	Ele não gostava de ser punido.
153038	I don't care how Tom does that.	Não me importo como o Tom faz isso.
4543	You have no idea what that means, do you?	Você não tem ideia do que isso significa, ou tem?
163632	It was filmed in Australia.	Foi filmado na Austrália.
28321	He asked an awkward question.	Ele fez uma pergunta embaraçosa.
156647	What makes you so sad?	O que te deixa tão triste?
75024	They boarded the wrong plane.	Eles embarcaram no avião errado.
167366	Tom didn't think about the consequences.	O Tom não pensou nas consequências.
9905	Tom translated a letter from French to English for his boss.	Tom traduziu para seu patrão uma carta, do Francês para o Inglês.
8097	Teaching languages isn't considered an easy job.	O ensino de idiomas não é considerado um trabalho fácil.
153605	The reason Tom didn't arrive on time was because of a traffic accident.	O motivo de Tom não chegar a tempo foi devido a um acidente de trânsito.
29348	I hope that Tom doesn't tell Mary about what we did.	Eu espero que Tom não conte a Mary sobre o que fizemos.
26198	We are looking for engineers.	Estamos à procura de engenheiros.
5779	He can't take a joke.	Ele não aceita piadas.
45825	I don't want to be cremated.	Eu não quero ser cremado.
104013	Tom was almost killed yesterday.	Tom quase foi morto ontem.
182999	Tom baked an apple pie.	Tom fez uma torta de maçã.
162461	Tom is in a good mood today.	Tom está de bom humor hoje.
140250	I found that difficult to explain.	Achei isso difícil de explicar.
162349	Could you come back here tomorrow at 2:30?	Você poderia voltar aqui amanhã às duas e meia?
31839	I didn't understand. Could you repeat that?	Não entendi, você poderia repetir?
66733	You asked to see me?	Você pediu para me ver?
143584	Do you think that we'll ever find our way back to the campsite?	Você acha que algum dia encontraremos o caminho de volta ao acampamento?
115187	He proofread my manuscript.	Ele revisou o meu manuscrito.
6431	You can easily judge the ripeness of a banana by the color of its peel.	Pode-se facilmente dizer se uma banana está madura pela cor de sua casca.
174650	Don't walk away when I'm talking to you.	Não vá embora quando estiver falando com você.
96576	I really need to do this.	Preciso muito fazer isso.
114939	You will be able to speak English soon.	Logo você vai ser capaz de falar inglês.
147035	I took it upon myself to telephone the police.	Eu assumi a responsabilidade de telefonar para a polícia.
154317	Just ignore what Tom said.	Apenas ignore o que o Tom disse.
64931	We'll be getting married in October.	Nós vamos nos casar em outubro.
157349	Maybe we should do that.	Talvez devêssemos fazer isso.
52314	Put yourself in my shoes.	Ponha-se em meu lugar.
50384	I heard the children laughing.	Eu ouvi as crianças rindo.
150153	Everybody but Tom came.	Todo mundo veio, menos Tom.
166476	You broke my heart.	Você partiu o meu coração.
97435	We have to keep this secret.	Nós temos que manter este segredo.
50409	Tom wants to see you this afternoon.	O Tom quer te ver essa tarde.
99929	I'd like to have a good talk with her.	Gostaria de ter uma boa conversa com ela.
156773	Help me lift this box.	Ajude-me a levantar esta caixa.
21063	Maybe Tom was just being polite.	Talvez o Tom estava apenas sendo educado.
25519	I'm getting closer.	Estou chegando mais perto.
157710	Guess who I ran into today.	Adivinhe com quem eu esbarrei hoje.
