	eng	rus
325919	You should be happy for Tom.	Тебе следует порадоваться за Тома.
132421	Tom must conserve his strength.	Том должен беречь свою силу.
261790	I was not drunk.	Я не был пьяный.
302828	I wanted to know what had happened.	Я хотел знать, что произошло.
215378	We know Tom didn't win.	Мы знаем, что Том не выиграл.
20157	How did you lose so much weight?	Как это ты так похудел?
231373	I wear glasses only for reading.	Я ношу очки только для чтения.
308868	You have to believe me, Tom.	Ты должен мне верить, Том.
36908	I'm responsible for you.	Я за тебя в ответе.
150312	She got permission to use the car.	Она получила разрешение водить машину.
346556	Tom is here with us.	Том здесь с нами.
173923	I'll deliver it myself.	Я сам её доставлю.
158176	Tom says he'll call Mary next week.	Том говорит, что позвонит Мэри на следующей неделе.
238756	Tom and Mary are safe here.	Том и Мэри здесь в безопасности.
321149	When did you finish the work?	Когда вы закончили работу?
207639	We did what we were supposed to do.	Мы сделали то, что должны были.
349580	We've seen three wars.	Мы видели три войны.
323084	You can't deny it.	Вы не можете этого отрицать.
8581	He's wearing sunglasses.	На нём солнечные очки.
157884	I'll wait till four o'clock.	Я подожду до четырёх.
225440	Tell me how to do this.	Скажите мне, как это делается.
236048	He sent a card to Mary.	Он отправил Мэри открытку.
89034	Tom did fifty sit-ups.	Том сделал пятьдесят упражнений на пресс.
62606	He was late for school yesterday.	Он опоздал в школу вчера.
197174	I didn't see anybody.	Я никого не увидел.
127210	Did Tom get any gifts?	Том получил какие-нибудь подарки?
202723	Tom wrote down Mary's phone number.	Том записал телефон Мэри.
347529	Sorry, I didn't mean to scare you.	Прости, я не хотел тебя напугать.
2384	I have a dry cough.	У меня сухой кашель.
289299	My passport has expired.	Срок действия моего паспорта истёк.
235988	I didn't feel her presence.	Я не чувствовал её присутствия.
61360	We know that you're a vegetarian.	Мы знаем, что вы вегетарианец.
113502	I'm pretty sure Tom is dating Mary.	Я почти уверен, что Том встречается с Мэри.
318011	We're not going with you.	Мы с вами не идём.
155139	I think it makes sense.	Я думаю, что в этом есть смысл.
67473	Can you find it?	Ты можешь её найти?
331901	We mustn't tell anyone.	Мы не должны никому говорить.
105259	We've got to tell Tom.	Мы должны сказать Тому.
315947	Which car is ours?	Которая машина - наша?
323534	Tom promised he wouldn't hurt Mary.	Том обещал, что не обидит Мэри.
