	eng	srp
12007	Tom worked part-time at a fast-food restaurant for three months.	Том је добио хонорарни посао у ресторану брзе хране на три месеца.
11900	I wasn't nervous about it.	Nisam se unervozio zbog toga.
23664	Everyone but Tom has a hat on.	Сви осим Тома носе капу.
18138	I got off the bus.	Izašao sam iz autobusa.
13743	Tom helped us save a lot of money.	Tom nam je pomogao da uštedimo mnogo novca.
19333	If you want to be a pianist, you should practice every day, or at least almost every day.	Ако желиш да будеш пијаниста, треба да вежбаш сваки дан, или барем скоро сваки дан.
24505	Tom is buried in a small cemetery just outside of Boston.	Том је закопан на малом гробљу одмах изван Бостона.
15093	I've been working here for a long time.	Радила сам овде дуго.
1431	Tom wants to do that with me.	Том жели да то ради са мном.
22727	Is it true that you're going to study in Boston?	Da li je istina da ćeš da studiraš u Bostonu?
7314	I'm aware what day it is.	Свесна сам тога који је дан.
8802	What do you want to do about Tom?	Šta da radite sa Tomom?
22222	Just get out of there.	Samo se skloni odavde.
25067	I was staring at Tom and he was staring at me.	Гледао сам у Тома, а он је гледао у мене.
9127	It's too smoky here for me.	Ovde ima previše dima za mene.
23593	Do you think you can remember the way home?	Мислиш ли да можеш да запамтиш пут до куће?
21159	I've never slept in class.	Никад нисам спавао на часу.
7416	Are we safe now?	Jesmo li sada na sigurnom?
15830	Please don't make me eat that.	Molim te, ne teraj me da jedem to.
15259	I forgot to write the address on the envelope.	Zaboravila sam da napišem adresu na koverti.
1016	Tom wants to sing with us.	Том хоће да пева са нама.
14724	Sorry, I don't follow.	Izvini, nisam ispratio.
1197	Tom is almost always in his office on Mondays.	Том је скоро увек у канцеларији понедељеком.
4717	Tom and Mary are broke.	Tom i Meri su švorc.
17540	I'm sorry. I shouldn't have said that.	Oprosti. Nije trebalo da kažem to.
6160	Take this medicine when you feel bad.	Узми овај лек када се не осећаш добро.
10670	I found something, too.	I ja sam pronašla nešto.
347	I didn't dare to say anything.	Нисам се усудио да кажем било шта.
10092	If I were you, I'd ask Tom what he thinks.	Да сам на вашем месту, питала бих Тома шта мисли.
420	I don't know what to do with Tom.	Не знам шта да радим са Томом.
13156	I want to move out.	Желим да се одселим.
10622	Tom lives in a mansion.	Tom živi u palati.
1237	Does Tom really need a car?	Да ли је Тому потребан аутомобил?
11671	Are those your bags?	Da li su ovo tvoje torbe?
5751	Do you love your mother?	Da li voliš tvoju majku?
21066	Are you sure that it was Tom and not Mary who did that?	Јеси ли сигурна да је то урадио Том а не Мери?
22060	Does Tom like camping?	Да ли Том воли да иде на камповање?
10290	I want to know why Tom didn't want to do that.	Желим да знам зашто Том није желео да уради то.
24537	I needed the money desperately.	Очајнички ми треба новац.
25566	To be honest, I really don't know.	Iskren da budem, ne znam baš.
25487	Tom wants to sit near Mary.	Том хоће да седне поред Мери.
3034	The prisoners must be released.	Затвореници морају да се пусте.
4141	I can't help myself.	Ne mogu da se uzdržim.
18978	I think Tom is trying to tell us something.	Мислим да Том покушава нешто да нам каже.
24392	You don't need money now.	Не треба вам новац сада.
14732	I'm just going to run down to the bank.	Само ћу да тркнем до банке.
10329	Tom couldn't remember where he'd buried the money.	Том није могао да се сети где је закопао новац.
18878	If I were you, I'd go to Boston.	Да сам на вашем месту, отишао бих у Бостон.
13908	I'm not here for that.	Nisam ovde zbog toga.
8267	Tom has an adopted daughter.	Том има усвојену ћерку.
12	Maybe you can't hear me.	Možda ne možeš da me čuješ.
14733	Both of them have three kids.	Обоје имају троје деце.
22392	I'm worried about you.	Забринут сам за тебе.
6907	I wish you could stay the night.	Voleo bih da prespavaš.
10855	Tom and I had to work together, even though we hated each other.	Том и ја смо радили заједно, иако смо се мрзели међусобно.
11209	The firm went under due to lack of capital.	Firma je propala zbog nedostatka kapitala.
25534	You're a patient man.	Ти си стрпљив мушкарац.
16779	I hate everything about it.	Mrzim sve o tome.
10191	Have you ever tasted soup this good before?	Да ли си икад пре јео овако добру супу?
21046	Once more, please.	Још једном, молим вас.
22837	It was a dark and stormy night.	Bila je to mračna i olujna noć.
19131	Have you told Tom this?	Da li si ovo rekao Tomu?
5024	I'm tied up at the office.	Заглавио сам у канцеларији.
23556	Tom and I were suspended from school for fighting.	Тома и мене су суспендовали из школе због туче.
6007	Tom was surprised that Mary didn't know to swim.	Тоа је изненадило то што Мери не зна да плива.
16704	She was supposed to be here by noon.	Требало је да буде овде до поднева.
6873	She was in a hurry to see her father.	Журила је да види свог оца.
3974	Tom is hiding under the table.	Том се крије испод стола.
11842	I didn't know Tom was an ex-con.	Нисам знао да је Том преварант.
1672	Does Tom really need a car?	Требају ли Тому кола?
5289	That was very good.	Baš je bilo dobro.
717	Didn't you see Tom yesterday?	Зар ниси јуче видела Тома?
13351	Tom has been trying to convince Mary to quit smoking.	Том неко време покушава да убеди Мери да престане да пуши.
