	eng	swe
5467	There's also another possibility.	Det finns en annan möjlighet också.
19668	I live in a small village.	Jag bor i en liten by.
9329	There was a pretty girl with black hair in the park.	Det var en vacker flicka med svart hår i parken.
15988	There was nobody there.	Det var ingen där.
13545	Is that what you wanted to say?	Är det vad du ville säga?
9345	Can I see them?	Kan jag få se dem?
13021	Do you like cities?	Tycker du om städer?
20872	Mary used to play with dolls.	Mary brukade leka med dockor.
20644	She saw my name written on the wall.	Hon såg mitt namn skrivet på väggen.
2063	You're a good person.	Du är en bra människa.
12109	I have less money than you.	Jag har mindre pengar än du.
19804	You'll be fine.	Du kommer att klara dig.
18828	In those days, I went to bed earlier.	På den tiden gick jag och lade mig tidigare.
5476	How did I miss that?	Hur kunde jag missa det där?
15585	I'm going to join a demonstration.	Jag ska gå med i en demonstration.
9436	Tom couldn't keep up.	Tom hann inte med.
21528	Where did you learn to write?	Var lärde ni er att skriva?
13309	We are not Americans.	Vi är inte amerikaner.
19961	I knew what you meant.	Jag visste vad ni menade.
2354	What are you insinuating?	Vad är det du insinuerar?
19744	Tom and Mary are watching TV in the living room.	Tom och Mary tittar på teve i vardagsrummet.
19098	You didn't seem to understand what Tom was saying.	Ni verkade inte förstå vad Tom sa.
11578	He makes three times more money than I do.	Han tjänar tre gånger så mycket pengar som jag.
16467	The answer was marked wrong.	Svaret hade markerats fel.
18478	She gave him a lot of money.	Hon gav honom en massa pengar.
20234	Tom was always willing to help.	Tom var alltid tjänstvillig.
2654	She has a large bosom.	Hon har en stor byst.
15593	Tom had no reason to be angry.	Tom hade ingen anledning att vara arg.
6937	I've been looking forward to meeting you.	Jag har sett fram emot att få träffa dig.
15375	They speak English in New Zealand.	Man talar engelska i Nya Zeeland.
664	Tell Tom what you want to do.	Berätta för Tom vad du vill göra.
4356	None of this is real.	Inget av det här är äkta.
5688	Tom is pretty old.	Tom är ganska gammal.
16583	Stand where you are!	Stanna där ni är!
17947	I thought you went home.	Jag trodde att ni gick hem.
21547	Someday, we'll know.	Förr eller senare kommer vi att veta.
18574	Get me some, too.	Ta lite åt mig också.
13048	She speaks English as if she were a native speaker.	Hon pratar engelska som om det vore hennes modersmål.
1015	She likes to sing.	Hon gillar att sjunga.
2065	We'll deal with this later.	Vi tar hand om det här senare.
8359	Tom can't be serious.	Tom kan inte vara allvarlig.
13928	I love that store.	Jag älskar den affären.
1495	I want to buy a pineapple.	Jag vill köpa en ananas.
3390	Tom wants something else.	Tom vill någonting annat.
6294	He's not as old as my brother.	Han är inte lika gammal som min bror.
532	How did you find Tom?	Hur hittade du Tom?
7939	That's what I thought, too.	Det trodde jag också.
10577	Tom is used to making quick decisions.	Tom är van att ta snabba beslut.
20253	I have an old car.	Jag har en gammal bil.
15902	I have what I need.	Jag har vad jag behöver.
16428	Would Tom like that?	Skulle Tom gilla det?
13965	No one has a problem.	Ingen har något problem.
20758	It was really funny.	Det var riktigt roligt.
720	I bet this will work.	Den här ska nog fungera.
21788	You probably know about what Tom did.	Du känner antagligen till det som Tom gjorde.
18199	It's on your desk.	Det ligger på din bänk.
10235	You can call off the search.	Du kan avbryta sökandet.
3631	Tell me your plan.	Berätta er plan för mig.
4319	Tom hasn't been well.	Tom har inte mått bra.
7834	We'll make it.	Vi kommer att klara det.
10746	Tom can show you around.	Tom kan visa dig runt.
18020	I know you're upset.	Jag vet att ni är upprörda.
21885	Tom didn't seem that happy.	Tom verkade inte så värst glad.
22115	I only wish it were that simple.	Om det bara var så enkelt.
6524	This is rather expensive.	Det här är rätt dyrt.
10725	I threw it out.	Jag slängde ut den.
11231	He kicked him while he was down.	Han sparkade honom medan han låg ner.
17991	Do you think they might be dangerous?	Tror du att de kan vara farliga?
5742	Could you read it?	Skulle du kunna läsa det?
20281	I'm just trying to figure out why someone would do such a thing.	Jag försöker komma på varför någon skulle få för sig att göra någonting sådant.
12197	Tom is a lousy dancer.	Tom är en urusel dansare.
4634	This isn't about you.	Det här handlar inte om er.
14249	You could've gone.	Du kunde ha stuckit.
19881	I know you've been busy.	Jag vet att du har varit upptagen.
20987	You don't have to answer today.	Du behöver inte svara idag.
1438	I wasn't sure which one I should buy.	Jag var osäker på vilken jag skulle köpa.
10353	Mary has two boyfriends.	Mary har två pojkvänner.
10373	Tom's car is cleaner than mine.	Toms bil är renare än min.
2535	I think you're both right.	Jag tror ni har rätt båda två.
12478	How long does it take to get to the station?	Hur lång tid tar det till stationen?
8195	They're heavily armed.	De är tungt beväpnade.
12972	Could I see those photos again?	Kan jag få titta på de där fotografierna igen?
10615	Why would anybody want to kill you?	Varför skulle någon vilja döda dig?
1394	It's only a book.	Det är bara en bok.
331	Tom has very broad shoulders.	Tom har mycket breda axlar.
15210	Pray for all of us.	Be för oss allihopa.
19208	A page is missing.	Det saknas en sida.
13560	I really like your music.	Jag tycker verkligen om er musik.
507	I just wanted you to look at this.	Jag ville bara att du skulle titta på detta.
16408	I'm sorry I brought it up.	Jag är ledsen att jag tog upp det.
7929	I would enjoy that.	Det skulle jag tycka om.
16183	She didn't give me her name.	Hon gav mig inte sitt namn.
9951	Can you feel it?	Kan du känna det?
14980	What should I do now?	Vad bör jag göra nu?
1234	I can protect you.	Jag kan skydda dig.
17033	She wants to kill me.	Hon vill döda mig.
6452	Even Tom himself wasn't convinced.	Inte ens Tom själv var övertygad.
10501	Are you in the library?	Är du på biblioteket?
13321	There's no reason to worry.	Det finns ingen orsak till oro.
19119	We're not going to sell it.	Vi tänker inte sälja den.
17610	Give it to me.	Ge den till mig.
16315	Can I have three?	Kan jag få tre?
21626	You have to clean your room.	Du måste städa ditt rum.
19363	My knee hurts when I bend it.	Det gör ont i knät när jag böjer på det.
18929	My mother noticed that my feet weren't clean.	Mamma märkte att mina fötter inte var rena.
833	Tom was never convicted of the crime.	Tom fälldes aldrig för brottet.
21971	We're in trouble.	Vi har råkat illa ut.
706	I'm never home alone.	Jag är aldrig ensam hemma.
7684	You're so shallow.	Ni är så ytliga.
415	The fact is that she didn't even read the letter.	Faktum är att hon läste inte ens brevet.
17387	Does Tom like to travel?	Gillar Tom att resa?
5840	Are you sure this is Tom's office?	Är du säker på att det här är Toms kontor?
9963	Have you ever taken an IQ test?	Har du någonsin gjort ett IQ-test?
12245	Where did you hear that story?	Var hörde du den historien?
5443	Today, I'm not going to school.	Jag ska inte till skolan idag.
1914	It belongs to my brother.	Den tillhör min bror.
3542	Come on, get up. You're going to be late for school.	Kom igen, stig upp. Du kommer bli försenad till skolan.
22005	Tom calls me almost every day.	Tom ringer mig nästan varje dag.
4200	They have many questions.	De har många frågor.
11717	Did you hear that?	Hörde du det där?
435	So what do I do now?	Så vad ska jag göra nu?
16654	I don't care what Tom does.	Jag bryr mig inte om vad Tom gör.
3938	Are you up there?	Är du där uppe?
3074	He hasn't changed his clothes in two weeks.	Han har inte bytt kläder på två veckor.
8928	Disneyland was very interesting. You should've come with us.	Disneyland var mycket intressant. Du borde ha följt med oss.
848	Tom wants to attend the party.	Tom vill vara med på festen.
18015	It's been overcast for the past few days.	Det har varit mulet de senaste dagarna.
6054	They're all different.	De är alla olika.
16519	I think that's where Tom is.	Jag tror att det är där Tom befinner sig.
2971	I happen to like Tom.	Jag råkar gilla Tom.
8659	Let's let Tom do it.	Vi låter Tom göra det.
8535	Who do you want to speak to?	Vilka vill ni tala med?
11958	What's wrong with that?	Vad är det för fel med det?
21225	Tom almost died that night.	Tom dog nästan den natten.
21539	We finally struck a bargain.	Till slut gjorde vi upp en affär.
13958	Why don't you just let Tom help?	Varför låter ni inte bara Tom hjälpa till?
