	eng	ukr
18641	You must help her.	Ти маєш їй допомогти.
96497	I think we need to be very careful not to hurt Tom's feelings.	Я думаю, що нам потрібно бути дуже обережним, щоб не зачепити почуття Тома.
31001	The road parallels the river.	Дорога йде паралельно до річки.
47847	I'm getting used to eating alone.	Я починаю звикати їсти на самоті.
32155	I left my dictionary downstairs.	Я лишив свій словник внизу.
98493	They called the boy Tom.	Вони назвали хлопчика Томом.
7102	I thought everybody here liked Tom.	Мені здавалося, що Том усім тут подобається.
143415	Well, I don't think so.	Гм, я так не вважаю.
58214	Neither Tom nor Mary was at the meeting.	На зборах не було ані Тома, ані Мері.
25614	Tom wants to follow in his father's footsteps.	Том хоче піти стопами батька.
105122	We should be paying attention.	Ми повинні бути уважними.
61397	I must have lost it.	Я, мабуть, загубила її.
27056	Why are we running?	Для чого ми бігаємо?
82956	They waited for him for hours.	Вони годинами чекали на нього.
102327	We met in Europe a few years ago.	Ми зустрічалися в Європі кілька років тому.
120535	I accompanied her on a walk.	Я супроводжувала її під час прогулянки.
35698	I actually really like it.	Мені це дуже подобається, насправді.
60869	We have many things in common.	У нас багато чого спільного.
91951	I enjoyed the movie.	Цей фільм мені сподобався.
26551	I didn't want it to happen.	Я не бажав, щоб так трапилось.
139139	Tom says that you're still hungry.	Том каже, ти все ще хочеш їсти.
43314	How many pills did you take?	Скільки ти випила таблеток?
102517	What else do you want?	Чого ще тобі треба?
146502	Please leave Tom alone.	Залиш Тома у спокої, будь ласка.
72335	I think that Tom will go to Boston next summer.	Гадаю, наступного літа Том поїде до Бостона.
24479	Tom said Mary would call.	Том сказав, що Мері зателефонує.
84359	Why does Tom hate you so much?	Чому Том так тебе ненавидить?
133624	I don't want to go to jail.	Я не хочу до в'язниці.
109562	Today's my first day.	Сьогодні мій перший день.
122962	You're very good to me.	Ви дуже добре до мене ставитеся.
40453	I want you back in one piece.	Я хочу, щоб ти повернулася цілою та неушкодженою.
147591	Could you get a ticket for me?	Могли би ви купити мені квиток?
124090	I want to watch you suffer.	Я хочу побачити, як ти сраждаєш.
124085	I'd love to spend Christmas with you.	Я б дуже хотіла провести Різдво з вами.
114165	I don't care what Tom wants to do.	Мені байдуже, що хоче робити Том.
37238	I thought Tom had red hair.	Я думав, що Том рудий.
87946	We help each other.	Ми допомогаємо одне одному.
61960	How did you know I used to live in Australia?	Звідки ви знали, що я колись жив у Австралії?
97064	I don't want to get into the water.	Я не хочу лізти у воду.
8049	He bowed to me as he passed by.	Проходячи повз, він кивнув мені.
105964	He gave me a good piece of advice.	Він дав мені добру пораду.
33467	I'm very grateful for your help.	Я вам дуже вдячна за допомогу.
31271	Why don't you come over for dinner?	Чому б вам не зайти на вечерю?
28478	She gave birth to a daughter yesterday.	Вона вчора народила доньку.
72031	This book is Tom's.	Ця книжка належить Тому.
99000	Tom said that Mary was ugly.	Том сказав, що Мері негарна.
40111	I asked him not to bother me.	Я попросила його не заважати.
153515	That child has few friends.	У тієї дитини є декілька друзів.
134980	He will be waiting for you.	Він чекатиме на тебе.
21578	What're you doing today?	Чим ви сьогодні будете займатися?
62426	Tom is taller than his mother.	Том вищий, ніж його матір.
1227	Tom's room wasn't clean.	У кімнаті Тома не було прибрано.
97914	I think my mom knows.	Мені здається, мама знає.
188	I'm sure Tom wasn't surprised.	Я певен, що Том не був здивований.
86338	You have such beautiful eyes.	У вас такі гарні очі.
114476	Is it OK with you if I do that?	Ви не проти, якщо я це зроблю?
96103	What do you have for breakfast?	Що маєш на сніданок?
38742	Tom drove his children to football practice.	Том відвіз дітей на футбольне заняття.
71360	We all thought you were married.	Ми всі думали, що ти заміжній.
